base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.99900000,137458,6721,0.0488949352,u,823,0.0059872834
0.99910000,137459,6715,0.0488509301,u,822,0.0059799649
0.99920000,137459,6709,0.0488072807,u,818,0.0059508653
0.99930000,137459,6698,0.0487272569,u,817,0.0059435905
0.99940000,137460,6694,0.0486978030,u,819,0.0059580969
0.99950000,137459,6691,0.0486763326,u,822,0.0059799649
0.99960000,137459,6687,0.0486472330,u,823,0.0059872398
0.99970000,137458,6680,0.0485966623,u,823,0.0059872834
0.99980000,137458,6684,0.0486257621,u,822,0.0059800084
0.99990000,137458,6673,0.0485457376,u,822,0.0059800084
1.00000000,137460,6664,0.0484795577,u,819,0.0059580969
1.00010000,137460,6652,0.0483922596,u,818,0.0059508221
1.00020000,137460,6645,0.0483413357,u,819,0.0059580969
1.00030000,137460,6641,0.0483122363,u,820,0.0059653717
1.00040000,137458,6645,0.0483420390,u,821,0.0059727335
1.00050000,137458,6642,0.0483202142,u,822,0.0059800084
1.00060000,137458,6638,0.0482911144,u,822,0.0059800084
1.00070000,137458,6632,0.0482474647,u,822,0.0059800084
1.00080000,137456,6632,0.0482481667,u,822,0.0059800954
1.00090000,137457,6614,0.0481168656,u,820,0.0059655019
1.00100000,137457,6619,0.0481532406,u,820,0.0059655019
