sector;particle_key;particle_name;symbol;theory_str;theory_E;sd_minus;sd_plus;m_bin;E_mean;E_min;E_max;i_T_min;i_T_max;delta_i;counts;delta_i_over_counts;min_i4;min_i3;min_i2;min_i1;min_i0;min_i_minus_1;min_C;max_i4;max_i3;max_i2;max_i1;max_i0;max_i_minus_1;max_C
112|nucleon;pion_0;Pion 0;π0;264.1430(9);264.143;-0.0009;0.0009;264;264.1424864422173;264.14238391292224;264.14258897151234;193270;194936;1667;13536;0.123153073286052;0;2;0;-3;-6;-3;-2;0;2;0;-5;-6;1;2
112|nucleon;pion_0;Pion 0;π0;264.1430(9);264.143;-0.0009;0.0009;265;264.1423717559723;264.1423717559723;264.1423717559723;210666;210666;1;7296;0.00013706140350877192;0;2;1;2;2;-3;-2;0;2;1;2;2;-3;-2
112|nucleon;kl_0;KL 0;K_L0;973.800(26);973.8;-0.026;0.026;292;973.7808101247424;973.7768130018923;973.7848072475927;642796;643031;236;22231;0.01061580675633125;1;2;-4;-6;-2;-6;-2;1;2;-4;-6;-6;-1;-2
112|nucleon;kl_0;KL 0;K_L0;973.800(26);973.8;-0.026;0.026;293;973.7974524565582;973.7753367397659;973.8195681733505;656220;658966;2747;16196;0.16960978019264017;1;2;-3;-2;2;-6;1;1;2;-3;-3;5;3;0
112|nucleon;kl_0;KL 0;K_L0;973.800(26);973.8;-0.026;0.026;294;973.8002177243047;973.7752494235715;973.8251860250381;673315;674706;1392;20951;0.06644074268531334;1;2;-2;5;-6;-6;2;1;2;-2;5;-5;-3;1
112|nucleon;kl_0;KL 0;K_L0;973.800(26);973.8;-0.026;0.026;295;973.8039531210568;973.7820935044547;973.8258127376589;622280;624361;2082;3561;0.5846672283066554;1;1;3;-4;2;1;0;1;1;3;-5;6;-3;1
112|nucleon;kl_0;KL 0;K_L0;973.800(26);973.8;-0.026;0.026;296;973.8004686111447;973.7750217601374;973.8259154621519;638455;640541;2087;8756;0.23835084513476473;1;1;4;3;-5;1;1;1;1;4;2;-1;-5;2
112|nucleon;ks_0;KS 0;K_S0;973.800(26);973.8;-0.026;0.026;292;973.7808101247424;973.7768130018923;973.7848072475927;642796;643031;236;22231;0.01061580675633125;1;2;-4;-6;-2;-6;-2;1;2;-4;-6;-6;-1;-2
112|nucleon;ks_0;KS 0;K_S0;973.800(26);973.8;-0.026;0.026;293;973.7974524565582;973.7753367397659;973.8195681733505;656220;658966;2747;16196;0.16960978019264017;1;2;-3;-2;2;-6;1;1;2;-3;-3;5;3;0
112|nucleon;ks_0;KS 0;K_S0;973.800(26);973.8;-0.026;0.026;294;973.8002177243047;973.7752494235715;973.8251860250381;673315;674706;1392;20951;0.06644074268531334;1;2;-2;5;-6;-6;2;1;2;-2;5;-5;-3;1
