sector;particle_key;particle_name;symbol;theory_str;theory_E;sd_minus;sd_plus;m_bin;E_mean;E_min;E_max;i_T_min;i_T_max;delta_i;counts;delta_i_over_counts;min_i4;min_i3;min_i2;min_i1;min_i0;min_i_minus_1;min_C;max_i4;max_i3;max_i2;max_i1;max_i0;max_i_minus_1;max_C
222|c_tau;pion_0;Pion 0;π0;264.1430(9);264.143;-0.0009;0.0009;264;264.1424864422173;264.14238391292224;264.14258897151234;193270;194936;1667;13536;0.123153073286052;0;2;0;-3;-6;-3;-2;0;2;0;-5;-6;1;2
222|c_tau;pion_0;Pion 0;π0;264.1430(9);264.143;-0.0009;0.0009;265;264.1423717559723;264.1423717559723;264.1423717559723;210666;210666;1;7296;0.00013706140350877192;0;2;1;2;2;-3;-2;0;2;1;2;2;-3;-2
222|c_tau;pion_0;Pion 0;π0;264.1430(9);264.143;-0.0009;0.0009;271;264.14348076997936;264.14348076997936;264.14348076997936;483135;483135;1;27110;3.688675765400221e-05;1;-4;-1;0;-5;-6;2;1;-4;-1;0;-5;-6;2
222|c_tau;pion_0;Pion 0;π0;264.1430(9);264.143;-0.0009;0.0009;272;264.14319411587536;264.14319411587536;264.14319411587536;499374;499374;1;32364;3.0898529230008654e-05;1;-4;0;6;-3;5;1;1;-4;0;6;-3;5;1
222|c_tau;kl_0;KL 0;K_L0;973.800(26);973.8;-0.026;0.026;292;973.7808101247424;973.7768130018923;973.7848072475927;1038256;1038491;236;22231;0.01061580675633125;1;2;-4;-6;-2;-6;-2;1;2;-4;-6;-6;-1;-2
222|c_tau;kl_0;KL 0;K_L0;973.800(26);973.8;-0.026;0.026;293;973.7974524565582;973.7753367397659;973.8195681733505;1051680;1054426;2747;16196;0.16960978019264017;1;2;-3;-2;2;-6;1;1;2;-3;-3;5;3;0
222|c_tau;kl_0;KL 0;K_L0;973.800(26);973.8;-0.026;0.026;294;973.8002177243047;973.7752494235715;973.8251860250381;1068775;1070166;1392;20951;0.06644074268531334;1;2;-2;5;-6;-6;2;1;2;-2;5;-5;-3;1
222|c_tau;kl_0;KL 0;K_L0;973.800(26);973.8;-0.026;0.026;295;973.8039531210568;973.7820935044547;973.8258127376589;1017740;1019821;2082;3561;0.5846672283066554;1;1;3;-4;2;1;0;1;1;3;-5;6;-3;1
222|c_tau;kl_0;KL 0;K_L0;973.800(26);973.8;-0.026;0.026;296;973.8004686111447;973.7750217601374;973.8259154621519;1033915;1036001;2087;8756;0.23835084513476473;1;1;4;3;-5;1;1;1;1;4;2;-1;-5;2
222|c_tau;kl_0;KL 0;K_L0;973.800(26);973.8;-0.026;0.026;300;973.800732552045;973.7755230935027;973.8259420105873;1341505;1344271;2767;42401;0.06525789486097026;2;-4;-4;3;-4;2;1;2;-4;-4;2;6;-3;1
222|c_tau;ks_0;KS 0;K_S0;973.800(26);973.8;-0.026;0.026;292;973.7808101247424;973.7768130018923;973.7848072475927;1038256;1038491;236;22231;0.01061580675633125;1;2;-4;-6;-2;-6;-2;1;2;-4;-6;-6;-1;-2
222|c_tau;ks_0;KS 0;K_S0;973.800(26);973.8;-0.026;0.026;293;973.7974524565582;973.7753367397659;973.8195681733505;1051680;1054426;2747;16196;0.16960978019264017;1;2;-3;-2;2;-6;1;1;2;-3;-3;5;3;0
222|c_tau;ks_0;KS 0;K_S0;973.800(26);973.8;-0.026;0.026;294;973.8002177243047;973.7752494235715;973.8251860250381;1068775;1070166;1392;20951;0.06644074268531334;1;2;-2;5;-6;-6;2;1;2;-2;5;-5;-3;1
222|c_tau;ks_0;KS 0;K_S0;973.800(26);973.8;-0.026;0.026;295;973.8039531210568;973.7820935044547;973.8258127376589;1017740;1019821;2082;3561;0.5846672283066554;1;1;3;-4;2;1;0;1;1;3;-5;6;-3;1
222|c_tau;ks_0;KS 0;K_S0;973.800(26);973.8;-0.026;0.026;296;973.8004686111447;973.7750217601374;973.8259154621519;1033915;1036001;2087;8756;0.23835084513476473;1;1;4;3;-5;1;1;1;1;4;2;-1;-5;2
222|c_tau;ks_0;KS 0;K_S0;973.800(26);973.8;-0.026;0.026;300;973.800732552045;973.7755230935027;973.8259420105873;1341505;1344271;2767;42401;0.06525789486097026;2;-4;-4;3;-4;2;1;2;-4;-4;2;6;-3;1
222|c_tau;eta;Eta;η;1072.139(35);1072.139;-0.035;0.035;296;1072.1407645298132;1072.108420350802;1072.1731087088247;1141314;1144181;2868;29056;0.09870594713656387;1;3;-4;-1;5;6;-1;1;3;-4;0;-5;2;2
222|c_tau;eta;Eta;η;1072.139(35);1072.139;-0.035;0.035;297;1072.137702736597;1072.1061623387463;1072.169243134448;1093181;1158943;65763;21848;3.0100238008055658;1;3;-3;6;4;2;-1;1;3;-3;6;3;-6;1
222|c_tau;eta;Eta;η;1072.139(35);1072.139;-0.035;0.035;298;1072.1414648446328;1072.109383806433;1072.1735458828325;1107255;1109406;2152;5266;0.4086593239650589;1;2;2;-2;1;4;0;1;2;2;-1;2;-1;-2
222|c_tau;eta;Eta;η;1072.139(35);1072.139;-0.035;0.035;299;1072.1411960330047;1072.1133917959917;1072.169000270018;1123435;1125526;2092;10401;0.2011345062974714;1;2;3;5;-3;-1;0;1;2;3;4;1;0;1
222|c_tau;eta;Eta;η;1072.139(35);1072.139;-0.035;0.035;304;1072.1395042394265;1072.1081726527227;1072.1708358261305;1380450;1383016;2567;26221;0.09789863086838793;2;-4;0;-1;-6;-1;-2;2;-4;0;-4;1;-3;2
222|c_tau;eta;Eta;η;1072.139(35);1072.139;-0.035;0.035;305;1072.1374899208909;1072.1040336561753;1072.1709461856067;1397060;1399146;2087;20381;0.10239929345959473;2;-4;1;2;5;-4;1;2;-4;1;2;5;-5;1
222|c_tau;rho_0;Rho 0;ρ0;1517.14(49);1517.14;-0.49;0.49;317;1517.140668769915;1516.651976849437;1517.629360690393;1741435;1743356;1922;13071;0.14704307245046286;2;0;-3;-5;1;-6;-1;2;0;-3;-6;-2;4;1
222|c_tau;rho_0;Rho 0;ρ0;1517.14(49);1517.14;-0.49;0.49;318;1517.1397773428614;1516.6536099996745;1517.6259446860483;1757130;1759861;2732;18591;0.14695282663654458;2;0;-2;0;0;-2;2;2;0;-2;2;-2;-5;-2
222|c_tau;rho_0;Rho 0;ρ0;1517.14(49);1517.14;-0.49;0.49;319;1517.1405012515843;1516.6541103320644;1517.6268921711044;1708317;1774203;65887;21948;3.001959176234737;2;0;-1;6;1;0;2;2;0;-1;6;4;3;0
222|c_tau;rho_0;Rho 0;ρ0;1517.14(49);1517.14;-0.49;0.49;320;1517.1380036423998;1516.6576109910459;1517.618396293754;1722590;1725246;2657;5946;0.4468550285906492;2;-1;4;-1;3;-3;-1;2;-1;4;-2;1;4;1
222|c_tau;omega;Omega;ω;1531.62(25);1531.62;-0.25;0.25;318;1531.6199548378754;1531.3705184039534;1531.8693912717972;1753095;1755726;2632;14456;0.18206972883231876;2;0;-2;-4;-5;4;2;2;0;-2;-5;5;3;0
