particle,particle_symbol,theory_E,E_min,E_mean,E_max,delta_i,counts,delta_i_percent,i4,i3,i2,i1,i0,i_minus_1,C
e,e,1.00000000000,0.99577371714,0.99577371714,0.99577371714,1,5561,0.01798,0.0,0.0,0.0,0.5,-2.5,0.5,-0.5
e,e,1.00000000000,0.99881712093,0.99881712093,0.99881712093,1,10628,0.00941,0.0,0.0,0.5,2.5,3.0,0.0,0.0
u,u,4.18,3.68,4.4,5.13,40,443,9.02935,0.0,0.0,-0.5,-3.0,-2.5,-0.5,-1.0
u,u,4.18,3.67,4.4,5.13,-144,5561,2.58946,0.0,0.0,0.0,-1.5,2.0,-1.5,1.0
u,u,4.18,3.67,4.4,5.13,-419,10628,3.94242,0.0,0.0,0.5,2.5,-1.5,2.5,0.0
d,d,9.14,8.81,9.44,10.0,-833,5561,14.97932,0.0,0.0,0.0,-1.0,-2.0,-0.5,-0.5
d,d,9.14,8.82,9.44,10.0,1452,10628,13.66202,0.0,0.0,0.5,2.0,0.5,0.0,-1.0
s,s,182.8,176.2,187.8,199.5,16607,21970,75.58944,0.0,1.0,-1.0,1.5,-0.5,0.5,0.0
Muon,muon,206.7682827,206.7682831,206.7682831,206.7682831,1,21970,0.00455,0.0,1.0,-1.0,1.0,-1.0,0.0,-1.0
Pion 0,$u\overline{d}-\overline{u}d$,264.1430,264.1432,264.1433,264.1434,-1665,10985,15.15703,0.0,1.0,0.0,-2.5,-3.0,0.5,1.0
Pion +-,"$u\overline{u},\overline{d}d$",273.13243,273.13249,273.13254,273.13259,-832,10985,7.57396,0.0,1.0,1.0,2.5,-3.0,2.5,0.5
