sector,particle,particle_symbol,m_bin,theory_E,theory_m_min,theory_m_max,E_max,E_mean,E_min,N_max,N_min,delta_i,abs_delta_i,counts,delta_i_percent,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C
light,e,e,256,1.00000000000,0.995,1.0,0.99577371714,0.99577371714,0.99577371714,5899,5899,1,1,5561,0.01798,0.0,0.0,0.0,0.5,-2.5,0.5,-0.5,0.0,0.0,0.0,0.5,-2.5,0.5,-0.5
light,e,e,257,1.00000000000,0.995,1.0,0.99881712093,0.99881712093,0.99881712093,16068,16068,1,1,10628,0.00941,0.0,0.0,0.5,2.5,3.0,0.0,0.0,0.0,0.0,0.5,2.5,3.0,0.0,0.0
light,u,u,255,4.18,3.67,5.14,5.13,4.4,3.68,74,35,40,40,443,9.02935,0.0,0.0,-0.5,-3.0,-2.5,-0.5,-1.0,0.0,0.0,-0.5,-3.0,-3.0,1.0,-0.5
light,u,u,256,4.18,3.67,5.14,5.13,4.4,3.67,3648,3793,-144,144,5561,2.58946,0.0,0.0,0.0,-1.5,2.0,-1.5,1.0,0.0,0.0,0.0,-1.5,3.0,0.0,1.0
light,u,u,257,4.18,3.67,5.14,5.13,4.4,3.67,15552,15972,-419,419,10628,3.94242,0.0,0.0,0.5,2.5,-1.5,2.5,0.0,0.0,0.0,0.5,2.5,2.0,0.5,-0.5
light,d,d,256,9.14,8.81,10.0,10.0,9.44,8.81,3980,4814,-833,833,5561,14.97932,0.0,0.0,0.0,-1.0,-2.0,-0.5,-0.5,0.0,0.0,0.0,-0.5,-2.0,-1.5,-1.0
light,d,d,257,9.14,8.81,10.0,10.0,9.44,8.82,14940,13489,1452,1452,10628,13.66202,0.0,0.0,0.5,2.0,0.5,0.0,-1.0,0.0,0.0,0.5,1.0,2.5,-2.5,1.0
light,s,s,262,182.8,176.2,199.6,199.5,187.8,176.2,90510,73904,16607,16607,21970,75.58944,0.0,1.0,-1.0,1.5,-0.5,0.5,0.0,0.0,0.5,1.0,-2.0,2.0,-2.5,-0.5
light,Muon,muon,262,206.7682827,206.768278,206.7682873,206.7682831,206.7682831,206.7682831,89593,89593,1,1,21970,0.00455,0.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,-1.0
light,Pion 0,$u\overline{d}-\overline{u}d$,264,264.1430,264.142,264.1439,264.1434,264.1433,264.1432,105397,107063,-1665,1665,10985,15.15703,0.0,1.0,0.0,-2.5,-3.0,0.5,1.0,0.0,1.0,0.0,-1.5,-3.0,-1.5,-1.0
light,Pion +-,"$u\overline{u},\overline{d}d$",266,273.13243,273.13208,273.13278,273.13259,273.13254,273.13249,135836,136669,-832,832,10985,7.57396,0.0,1.0,1.0,2.5,-3.0,2.5,0.5,0.0,1.0,1.0,3.0,-3.0,1.5,-0.5
