particle,row_type,theory,E,E_m,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note,Polynom
e,particle,,,,,,,,,,,,,,,
,max,1.005,0.99577371714,,5899,0.0,0.0,0.0,0.5,-2.5,0.5,-0.5,,,,0.0 (2π)^4 + 0.0(2π)^3 + 0.0(2π)^2  -(0.5 (2π)^1 + -2.5(2π)^0 + 0.5(2π)^-1)  + 0.5 (π + π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,mean,1.00000000000(31),0.99577371714,,1,,,,,,,,,,,
,min,0.995,0.99577371714,,5899,0.0,0.0,0.0,0.5,-2.5,0.5,-0.5,,,,0.0 (2π)^4 + 0.0(2π)^3 + 0.0(2π)^2  -(0.5 (2π)^1 + -2.5(2π)^0 + 0.5(2π)^-1)  + 0.5 (π + π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,delta,,,,1,,,,,,,,1,100.0,∆ abs(i),
,max,1.005,0.99881712093,,16068,0.0,0.0,0.5,2.5,3.0,0.0,0.0,,,,0.0 (2π)^4 + 0.0(2π)^3 + 0.5(2π)^2  -(2.5 (2π)^1 + 3.0(2π)^0 + 0.0(2π)^-1)  + 1.25*2(2π)^(-3)  + 1.25*2(2π)^(-8)  - (2π)^(-3)  - (2π)^(-2)  - (2π)^(-4)  - (2π)^(-3)  +  (+ π^-12 + 2π^-14)
,mean,1.00000000000(31),0.99881712093,,1,,,,,,,,,,,
,min,0.995,0.99881712093,,16068,0.0,0.0,0.5,2.5,3.0,0.0,0.0,,,,0.0 (2π)^4 + 0.0(2π)^3 + 0.5(2π)^2  -(2.5 (2π)^1 + 3.0(2π)^0 + 0.0(2π)^-1)  + 1.25*2(2π)^(-3)  + 1.25*2(2π)^(-8)  - (2π)^(-3)  - (2π)^(-2)  - (2π)^(-4)  - (2π)^(-3)  +  (+ π^-12 + 2π^-14)
,delta,,,,1,,,,,,,,1,100.0,∆ abs(i),
u,particle,,,,,,,,,,,,,,,
,max,5.14,5.13,,74,0.0,0.0,-0.5,-3.0,-2.5,-0.5,-1.0,,,,0.0 (2π)^4 + 0.0(2π)^3 + -0.5(2π)^2  -(-3.0 (2π)^1 + -2.5(2π)^0 + -0.5(2π)^-1)  + 1.5*2(2π)^(-2)  + 1.5*2(2π)^(-8)  + 1.0 (π + π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,mean,4.18(-0.51)(0.96),4.4,,40,,,,,,,,,,,
,min,3.67,3.68,,35,0.0,0.0,-0.5,-3.0,-3.0,1.0,-0.5,,,,0.0 (2π)^4 + 0.0(2π)^3 + -0.5(2π)^2  -(-3.0 (2π)^1 + -3.0(2π)^0 + 1.0(2π)^-1)  + 1.5*2(2π)^(-2)  + 1.5*2(2π)^(-8)  + 0.5 (π + π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,delta,,,,40,,,,,,,,1,4000.0,∆ abs(i),
,max,5.14,5.13,,3648,0.0,0.0,0.0,-1.5,2.0,-1.5,1.0,,,,0.0 (2π)^4 + 0.0(2π)^3 + 0.0(2π)^2  -(0.5 (2π)^1 + -2.5(2π)^0 + 0.5(2π)^-1)  + 0.5 (π + π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,mean,4.18(-0.51)(0.96),4.4,,-144,,,,,,,,,,,
,min,3.67,3.67,,3793,0.0,0.0,0.0,-1.5,3.0,0.0,1.0,,,,0.0 (2π)^4 + 0.0(2π)^3 + 0.0(2π)^2  -(0.5 (2π)^1 + -2.5(2π)^0 + 0.5(2π)^-1)  + 0.5 (π + π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,delta,,,,144,,,,,,,,1,14400.0,∆ abs(i),
,max,5.14,5.13,,15552,0.0,0.0,0.5,2.5,-1.5,2.5,0.0,,,,0.0 (2π)^4 + 0.0(2π)^3 + 0.5(2π)^2  -(2.5 (2π)^1 + 3.0(2π)^0 + 0.0(2π)^-1)  + 1.25*2(2π)^(-3)  + 1.25*2(2π)^(-8)  - (2π)^(-3)  - (2π)^(-2)  - (2π)^(-4)  - (2π)^(-3)  +  (+ π^-12 + 2π^-14)
,mean,4.18(-0.51)(0.96),4.4,,-419,,,,,,,,,,,
,min,3.67,3.67,,15972,0.0,0.0,0.5,2.5,2.0,0.5,-0.5,,,,0.0 (2π)^4 + 0.0(2π)^3 + 0.5(2π)^2  -(2.5 (2π)^1 + 3.0(2π)^0 + 0.0(2π)^-1)  + 1.25*2(2π)^(-3)  + 1.25*2(2π)^(-8)  - (2π)^(-3)  - (2π)^(-2)  - (2π)^(-4)  - (2π)^(-3)  +  (+ π^-12 + 2π^-14)
,delta,,,,419,,,,,,,,1,41900.0,∆ abs(i),
,total,,,5.13590783593004,603,0.0,0.0,-0.5,-3.0,-3.0,1.0,-0.5,3,20100.0,Σ ∆i,
,total,,,3.6702169938981104,0,0.0,0.0,0.5,2.5,2.0,0.5,-0.5,0,20100.0,Σ ∆i,
d,particle,,,,,,,,,,,,,,,
,max,10.0,10.0,,3980,0.0,0.0,0.0,-1.0,-2.0,-0.5,-0.5,,,,0.0 (2π)^4 + 0.0(2π)^3 + 0.0(2π)^2  -(0.5 (2π)^1 + -2.5(2π)^0 + 0.5(2π)^-1)  + 0.5 (π + π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,mean,9.14(-0.33)(0.94),9.44,,-833,,,,,,,,,,,
,min,8.81,8.81,,4814,0.0,0.0,0.0,-0.5,-2.0,-1.5,-1.0,,,,0.0 (2π)^4 + 0.0(2π)^3 + 0.0(2π)^2  -(0.5 (2π)^1 + -2.5(2π)^0 + 0.5(2π)^-1)  + 0.5 (π + π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,delta,,,,833,,,,,,,,1,83300.0,∆ abs(i),
,max,10.0,10.0,,14940,0.0,0.0,0.5,2.0,0.5,0.0,-1.0,,,,0.0 (2π)^4 + 0.0(2π)^3 + 0.5(2π)^2  -(2.5 (2π)^1 + 3.0(2π)^0 + 0.0(2π)^-1)  + 1.25*2(2π)^(-3)  + 1.25*2(2π)^(-8)  - (2π)^(-3)  - (2π)^(-2)  - (2π)^(-4)  - (2π)^(-3)  +  (+ π^-12 + 2π^-14)
