particle,particle_symbol,theory_E,E_min,E_mean,E_max,delta_i,counts,delta_i_percent,i4,i3,i2,i1,i0,i_minus_1,C
e,e,1.00000000000,0.99577371714,0.99577371714,0.99577371714,1,5561,0.01798,0.0,0.0,0.0,0.5,-2.5,0.5,-0.5
e,e,1.00000000000,0.99881712093,0.99881712093,0.99881712093,1,10628,0.00941,0.0,0.0,0.5,2.5,3.0,0.0,0.0
u,u,4.18,3.68,4.4,5.13,40,443,9.02935,0.0,0.0,-0.5,-3.0,-2.5,-0.5,-1.0
u,u,4.18,3.67,4.4,5.13,-144,5561,2.58946,0.0,0.0,0.0,-1.5,2.0,-1.5,1.0
u,u,4.18,3.67,4.4,5.13,-419,10628,3.94242,0.0,0.0,0.5,2.5,-1.5,2.5,0.0
d,d,9.14,8.81,9.44,10.0,-833,5561,14.97932,0.0,0.0,0.0,-1.0,-2.0,-0.5,-0.5
d,d,9.14,8.82,9.44,10.0,1452,10628,13.66202,0.0,0.0,0.5,2.0,0.5,0.0,-1.0
s,s,182.8,176.2,185.6,195.1,-4084,65910,6.19633,0.0,1.0,-2.0,-3.0,-3.0,-3.0,-1.0
s,s,182.8,176.2,187.9,199.5,-5582,10985,50.81475,0.0,1.0,-1.5,-1.5,0.5,-1.0,-0.5
s,s,182.8,176.2,187.8,199.5,60547,10985,551.17888,0.0,1.0,-1.0,1.5,-0.5,0.5,0.0
s,s,182.8,176.2,187.9,199.5,-5694,10985,51.83432,0.0,0.5,1.5,-2.0,-2.5,2.5,-0.5
s,s,182.8,178.1,188.8,199.5,-5384,65910,8.16871,0.0,0.5,2.0,0.0,1.0,-2.5,1.0
Muon,muon,206.7682827,206.7682831,206.7682831,206.7682831,1,10985,0.0091,0.0,1.0,-1.0,1.0,-1.0,0.0,-1.0
Pion 0,$u\overline{d}-\overline{u}d$,264.1430,264.1432,264.1433,264.1434,-1665,65910,2.52617,0.0,1.0,0.0,-2.5,-3.0,0.5,1.0
Pion +-,"$u\overline{u},\overline{d}d$",273.13243,273.13249,273.13254,273.13259,-832,10985,7.57396,0.0,1.0,1.0,2.5,-3.0,2.5,0.5
K +-,"$u\overline{s},s\overline{u}$",966.102,966.081,966.1,966.119,877,65910,1.3306,0.5,1.0,-2.0,-2.5,-1.0,3.0,-1.0
K +-,"$u\overline{s},s\overline{u}$",966.102,966.081,966.101,966.121,-1205,10985,10.9695,0.5,1.0,-1.5,0.0,-1.0,3.0,1.0
K +-,"$u\overline{s},s\overline{u}$",966.102,966.086,966.099,966.113,-65228,10985,593.79153,0.5,0.5,1.0,-3.0,-1.0,-0.5,-1.0
K +-,"$u\overline{s},s\overline{u}$",966.102,966.082,966.102,966.122,354,10985,3.22258,0.5,0.5,1.5,-0.5,0.0,-3.0,0.0
K +-,"$u\overline{s},s\overline{u}$",966.102,966.081,966.101,966.121,685,65910,1.0393,0.5,0.5,2.0,3.0,-1.0,0.0,-0.5
