sector,particle,particle_symbol,m_bin,theory_E,theory_m_min,theory_m_max,E_max,E_mean,E_min,N_max,N_min,delta_i,abs_delta_i,counts,delta_i_percent,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C
broad,e,e,256,1.00000000000,0.995,1.0,0.99577371714,0.99577371714,0.99577371714,5899,5899,1,1,5561,0.01798,0.0,0.0,0.0,0.5,-2.5,0.5,-0.5,0.0,0.0,0.0,0.5,-2.5,0.5,-0.5
broad,e,e,257,1.00000000000,0.995,1.0,0.99881712093,0.99881712093,0.99881712093,16068,16068,1,1,10628,0.00941,0.0,0.0,0.5,2.5,3.0,0.0,0.0,0.0,0.0,0.5,2.5,3.0,0.0,0.0
broad,u,u,255,4.18,3.67,5.14,5.13,4.4,3.68,74,35,40,40,443,9.02935,0.0,0.0,-0.5,-3.0,-2.5,-0.5,-1.0,0.0,0.0,-0.5,-3.0,-3.0,1.0,-0.5
broad,u,u,256,4.18,3.67,5.14,5.13,4.4,3.67,3648,3793,-144,144,5561,2.58946,0.0,0.0,0.0,-1.5,2.0,-1.5,1.0,0.0,0.0,0.0,-1.5,3.0,0.0,1.0
broad,u,u,257,4.18,3.67,5.14,5.13,4.4,3.67,15552,15972,-419,419,10628,3.94242,0.0,0.0,0.5,2.5,-1.5,2.5,0.0,0.0,0.0,0.5,2.5,2.0,0.5,-0.5
broad,d,d,256,9.14,8.81,10.0,10.0,9.44,8.81,3980,4814,-833,833,5561,14.97932,0.0,0.0,0.0,-1.0,-2.0,-0.5,-0.5,0.0,0.0,0.0,-0.5,-2.0,-1.5,-1.0
broad,d,d,257,9.14,8.81,10.0,10.0,9.44,8.82,14940,13489,1452,1452,10628,13.66202,0.0,0.0,0.5,2.0,0.5,0.0,-1.0,0.0,0.0,0.5,1.0,2.5,-2.5,1.0
broad,s,s,260,182.8,176.2,199.6,195.1,185.6,176.2,148453,152538,-4084,4084,65910,6.19633,0.0,1.0,-2.0,-3.0,-3.0,-3.0,-1.0,0.0,1.0,-2.0,-1.0,2.0,2.5,-1.0
broad,s,s,261,182.8,176.2,199.6,199.5,187.9,176.2,162449,168032,-5582,5582,10985,50.81475,0.0,1.0,-1.5,-1.5,0.5,-1.0,-0.5,0.0,1.0,-1.5,2.0,-2.0,-2.0,1.0
broad,s,s,262,182.8,176.2,199.6,199.5,187.8,176.2,178390,117844,60547,60547,10985,551.17888,0.0,1.0,-1.0,1.5,-0.5,0.5,0.0,0.0,0.5,1.0,-2.0,2.0,-2.5,-0.5
broad,s,s,263,182.8,176.2,199.6,199.5,187.9,176.2,128294,133989,-5694,5694,10985,51.83432,0.0,0.5,1.5,-2.0,-2.5,2.5,-0.5,0.0,0.5,1.5,1.0,2.5,0.0,-0.5
broad,s,s,264,182.8,176.2,199.6,199.5,188.8,178.1,143067,148452,-5384,5384,65910,8.16871,0.0,0.5,2.0,0.0,1.0,-2.5,1.0,0.0,0.5,2.0,3.0,3.0,3.0,1.0
