sector,particle,particle_symbol,theory_E,sum_abs_delta_i,total_counts,delta_i_percent
broad,u,u,4.18,603,16632,3.62554
broad,d,d,9.14,2285,16189,14.11452
broad,s,s,182.8,81291,164775,49.33455
broad,Muon,muon,206.7682827,1,10985,0.0091
broad,Pion 0,$u\overline{d}-\overline{u}d$,264.1430,1665,65910,2.52617
broad,Pion +-,"$u\overline{u},\overline{d}d$",273.13243,832,10985,7.57396
broad,K +-,"$u\overline{s},s\overline{u}$",966.102,68349,164775,41.4802
broad,KL 0,"$d\overline{s},s\overline{d}$  ",973.800,2677,164775,1.62464
broad,KS 0,"$d\overline{s},s\overline{d}$",973.800,2677,164775,1.62464
broad,Eta,$u\overline{u}+\overline{d}d-2s\overline{s}$,1072.139,621,32955,1.88439
broad,Rho +-,"$u\overline{u},\overline{d}d$",1506,2189,164775,1.32848
broad,Rho 0,$u\overline{u}-\overline{d}d$,1517.14,2509,98865,2.5378
broad,Omega,$u\overline{u}+\overline{d}d$,1531.62,2567,87880,2.92103
broad,K* +-,"$d\overline{s},s\overline{d}$",1745.2,68801,164775,41.75451
broad,K* 0,"$d\overline{s},s\overline{d}$",1752.6,2051,164775,1.24473
broad,Proton,uud,1836.152673426,1,10985,0.0091
broad,H,H,1837.47,1785,21970,8.12472
broad,Neutron,udd,1838.68366200,1,10985,0.0091
broad,Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,1874.32,1598,21970,7.27355
