particle,row_type,theory,E,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note
e,mean,1.00000000000(31),,,,,,,,,,,,only with i4 > 1
u,mean,4.18(-0.51)(0.96),,,,,,,,,,,,only with i4 > 1
d,mean,9.14(-0.33)(0.94),,,,,,,,,,,,only with i4 > 1
s,mean,182.8(-6.6)(16.8),,,,,,,,,,,,only with i4 > 1
Muon,mean,206.7682827(46),,,,,,,,,,,,only with i4 > 1
Pion 0,mean,264.1430(9),,,,,,,,,,,,only with i4 > 1
Pion +-,mean,273.13243(35),,,,,,,,,,,,only with i4 > 1
K +-,mean,966.102(21),,,,,,,,,,,,only with i4 > 1
KL 0,mean,973.800(26),,,,,,,,,,,,only with i4 > 1
KS 0,mean,973.800(26),,,,,,,,,,,,only with i4 > 1
Eta,mean,1072.139(35),,,,,,,,,,,,only with i4 > 1
Rho +-,particle,,,,,,,,,,,,,
,max,1507.0,1505.0,13078,1.0,0.0,-2.0,-3.0,-3.0,-3.0,-1.0,,,
,mean,1506(1),1505.0,-31,,,,,,,,,,
,min,1505.0,1505.0,13110,1.0,0.0,-2.0,-3.0,-3.0,1.0,-1.0,,,
,delta,,,31,,,,,,,,65910,0.04703,∆ abs(i)
,max,1507.0,1506.0,16623,1.0,0.0,-1.5,-1.5,2.0,-2.5,0.0,,,
,mean,1506(1),1506.0,64,,,,,,,,,,
,min,1505.0,1505.0,16560,1.0,0.0,-1.5,-1.5,1.5,-2.5,1.0,,,
,delta,,,64,,,,,,,,10985,0.58261,∆ abs(i)
,max,1507.0,1506.0,28480,1.0,0.0,-1.0,2.5,-0.5,2.0,-1.0,,,
,mean,1506(1),1506.0,609,,,,,,,,,,
,min,1505.0,1505.0,27872,1.0,0.0,-1.0,2.0,1.5,-0.5,0.0,,,
,delta,,,609,,,,,,,,10985,5.54392,∆ abs(i)
,max,1507.0,1506.0,1700,1.0,-0.5,1.5,-2.0,-3.0,-2.5,1.0,,,
,mean,1506(1),1505.0,22,,,,,,,,,,
,min,1505.0,1505.0,1679,1.0,-0.5,1.5,-2.5,3.0,2.0,0.5,,,
,delta,,,22,,,,,,,,10985,0.20027,∆ abs(i)
,max,1507.0,1506.0,10773,1.0,-0.5,2.0,1.0,-2.5,3.0,1.0,,,
,mean,1506(1),1506.0,-1431,,,,,,,,,,
,min,1505.0,1505.0,12205,1.0,-0.5,2.0,1.5,2.5,-0.5,-1.0,,,
,delta,,,1431,,,,,,,,65910,2.17114,∆ abs(i)
,total,,,2157,,,,,,,,164775,1.30906,Σ ∆i
Rho 0,particle,,,,,,,,,,,,,
,max,1517.63,1517.61,15241,1.0,0.0,-1.5,-2.0,-2.5,2.5,-1.0,,,
,mean,1517.14(49),1517.14,1482,,,,,,,,,,
,min,1516.65,1516.66,13760,1.0,0.0,-1.5,-3.0,-0.5,-3.0,1.0,,,
,delta,,,1482,,,,,,,,10985,13.49112,∆ abs(i)
,max,1517.63,1517.62,24912,1.0,0.0,-1.0,0.5,-2.0,2.5,0.0,,,
,mean,1517.14(49),1517.14,-562,,,,,,,,,,
,min,1516.65,1516.65,25475,1.0,0.0,-1.0,0.5,2.5,0.5,-1.0,,,
,delta,,,562,,,,,,,,10985,5.11607,∆ abs(i)
,max,1517.63,1517.62,40051,1.0,0.0,-0.5,3.0,1.5,-3.0,0.5,,,
,mean,1517.14(49),1517.15,85,,,,,,,,,,
,min,1516.65,1516.67,39967,1.0,0.0,-0.5,3.0,0.5,1.5,1.0,,,
,delta,,,85,,,,,,,,10985,0.77378,∆ abs(i)
,max,1517.63,1517.62,8839,1.0,-0.5,2.0,-0.5,2.5,-1.5,-1.0,,,
,mean,1517.14(49),1517.14,-380,,,,,,,,,,
,min,1516.65,1516.65,9220,1.0,-0.5,2.0,0.0,-1.0,-2.5,-0.5,,,
,delta,,,380,,,,,,,,65910,0.57654,∆ abs(i)
,total,,,2509,,,,,,,,98865,2.5378,Σ ∆i
Omega,particle,,,,,,,,,,,,,
,max,1531.87,1531.86,20733,1.0,0.0,-1.0,-2.0,-1.5,0.5,0.5,,,
,mean,1531.62(25),1531.61,-94,,,,,,,,,,
,min,1531.37,1531.37,20828,1.0,0.0,-1.0,-2.0,-0.5,-3.0,0.5,,,
,delta,,,94,,,,,,,,10985,0.85571,∆ abs(i)
,max,1531.87,1531.86,35807,1.0,0.0,-0.5,0.5,1.0,1.5,1.0,,,
,mean,1531.62(25),1531.61,-2180,,,,,,,,,,
,min,1531.37,1531.37,37988,1.0,0.0,-0.5,2.0,-1.5,-1.0,-1.0,,,
,delta,,,2180,,,,,,,,10985,19.84524,∆ abs(i)
,max,1531.87,1531.86,4796,1.0,-0.5,2.0,-2.5,-2.5,-3.0,0.0,,,
,mean,1531.62(25),1531.62,-293,,,,,,,,,,
,min,1531.37,1531.37,5090,1.0,-0.5,2.0,-2.5,-0.5,0.5,-0.5,,,
,delta,,,293,,,,,,,,65910,0.44455,∆ abs(i)
,total,,,2567,,,,,,,,87880,2.92103,Σ ∆i
K* +-,particle,,,,,,,,,,,,,
