sector,particle,particle_symbol,m_bin,theory_E,theory_m_min,theory_m_max,E_max,E_mean,E_min,N_max,N_min,delta_i,abs_delta_i,counts,delta_i_percent,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C
heavy,Rho +-,"$u\overline{u},\overline{d}d$",316,1506,1505.0,1507.0,1505.0,1505.0,1505.0,13078,13110,-31,31,65910,0.04703,1.0,0.0,-2.0,-3.0,-3.0,-3.0,-1.0,1.0,0.0,-2.0,-3.0,-3.0,1.0,-1.0
heavy,Rho +-,"$u\overline{u},\overline{d}d$",317,1506,1505.0,1507.0,1506.0,1506.0,1505.0,16623,16560,64,64,10985,0.58261,1.0,0.0,-1.5,-1.5,2.0,-2.5,0.0,1.0,0.0,-1.5,-1.5,1.5,-2.5,1.0
heavy,Rho +-,"$u\overline{u},\overline{d}d$",318,1506,1505.0,1507.0,1506.0,1506.0,1505.0,28480,27872,609,609,10985,5.54392,1.0,0.0,-1.0,2.5,-0.5,2.0,-1.0,1.0,0.0,-1.0,2.0,1.5,-0.5,0.0
heavy,Rho +-,"$u\overline{u},\overline{d}d$",319,1506,1505.0,1507.0,1506.0,1505.0,1505.0,1700,1679,22,22,10985,0.20027,1.0,-0.5,1.5,-2.0,-3.0,-2.5,1.0,1.0,-0.5,1.5,-2.5,3.0,2.0,0.5
heavy,Rho +-,"$u\overline{u},\overline{d}d$",320,1506,1505.0,1507.0,1506.0,1506.0,1505.0,10773,12205,-1431,1431,65910,2.17114,1.0,-0.5,2.0,1.0,-2.5,3.0,1.0,1.0,-0.5,2.0,1.5,2.5,-0.5,-1.0
heavy,Rho 0,$u\overline{u}-\overline{d}d$,317,1517.14,1516.65,1517.63,1517.61,1517.14,1516.66,15241,13760,1482,1482,10985,13.49112,1.0,0.0,-1.5,-2.0,-2.5,2.5,-1.0,1.0,0.0,-1.5,-3.0,-0.5,-3.0,1.0
heavy,Rho 0,$u\overline{u}-\overline{d}d$,318,1517.14,1516.65,1517.63,1517.62,1517.14,1516.65,24912,25475,-562,562,10985,5.11607,1.0,0.0,-1.0,0.5,-2.0,2.5,0.0,1.0,0.0,-1.0,0.5,2.5,0.5,-1.0
heavy,Rho 0,$u\overline{u}-\overline{d}d$,319,1517.14,1516.65,1517.63,1517.62,1517.15,1516.67,40051,39967,85,85,10985,0.77378,1.0,0.0,-0.5,3.0,1.5,-3.0,0.5,1.0,0.0,-0.5,3.0,0.5,1.5,1.0
heavy,Rho 0,$u\overline{u}-\overline{d}d$,320,1517.14,1516.65,1517.63,1517.62,1517.14,1516.65,8839,9220,-380,380,65910,0.57654,1.0,-0.5,2.0,-0.5,2.5,-1.5,-1.0,1.0,-0.5,2.0,0.0,-1.0,-2.5,-0.5
heavy,Omega,$u\overline{u}+\overline{d}d$,318,1531.62,1531.37,1531.87,1531.86,1531.61,1531.37,20733,20828,-94,94,10985,0.85571,1.0,0.0,-1.0,-2.0,-1.5,0.5,0.5,1.0,0.0,-1.0,-2.0,-0.5,-3.0,0.5
