sector,particle,particle_symbol,theory_E,sum_abs_delta_i,total_counts,delta_i_percent
heavy,Rho +-,"$u\overline{u},\overline{d}d$",1506,2157,164775,1.30906
heavy,Rho 0,$u\overline{u}-\overline{d}d$,1517.14,2509,98865,2.5378
heavy,Omega,$u\overline{u}+\overline{d}d$,1531.62,2567,87880,2.92103
heavy,K* +-,"$d\overline{s},s\overline{d}$",1745.2,69875,230685,30.29022
heavy,K* 0,"$d\overline{s},s\overline{d}$",1752.6,2562,230685,1.11061
heavy,Proton,uud,1836.152673426,1,10985,0.0091
heavy,H,H,1837.47,3529,175760,2.00785
heavy,Neutron,udd,1838.68366200,1,10985,0.0091
heavy,Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,1874.32,5660,252655,2.24021
heavy,Phi,$s\overline{s}(most)$,1995.035,3559,351520,1.01246
heavy,c,c,2485,120266,252655,47.60088
heavy,Tau,tau,3477.23,1733,76895,2.25372
heavy,D 0,"$c\overline{u},u\overline{c}$",3649.38,1470,32955,4.46063
heavy,D +,"$c\overline{d},d\overline{c}$",3658.81,888,21970,4.04188
