particle,row_type,theory,E,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note
e,particle,,,,,,,,,,,,,
,max,1.005,1.00425124833,566,-0.5,3.0,0.5,-3.0,1.0,1.5,0.5,,,
,mean,1.00000000000(31),1.00258275934,-662,,,,,,,,,,
,min,0.995,1.00091427034,1229,-0.5,3.0,0.5,-2.5,2.5,2.0,-1.0,,,
,delta,,,662,,,,,,,,1430,46.29371,∆ abs(i)
,max,1.005,1.00324793485,8030,-0.5,3.0,1.0,1.0,-1.0,-2.0,-0.5,,,
,mean,1.00000000000(31),0.99962316823,823,,,,,,,,,,
,min,0.995,0.99599840162,7208,-0.5,3.0,1.0,0.0,2.5,-3.0,0.5,,,
,delta,,,823,,,,,,,,6737,12.21612,∆ abs(i)
,max,1.005,1.00277092984,56101,0.0,-0.5,3.0,-0.5,0.0,-2.5,-1.0,,,
,mean,1.00000000000(31),0.99918311099,-1,,,,,,,,,,
,min,0.995,0.99559529213,56103,0.0,-0.5,3.0,-0.5,0.0,-1.5,-1.0,,,
,delta,,,1,,,,,,,,4060,0.02463,∆ abs(i)
,max,1.005,0.99577371714,62057,0.0,0.0,0.0,0.5,-2.5,0.5,-0.5,,,
,mean,1.00000000000(31),0.99577371714,1,,,,,,,,,,
,min,0.995,0.99577371714,62057,0.0,0.0,0.0,0.5,-2.5,0.5,-0.5,,,
,delta,,,1,,,,,,,,5561,0.01798,∆ abs(i)
,max,1.005,0.99881712093,72226,0.0,0.0,0.5,2.5,3.0,0.0,0.0,,,
,mean,1.00000000000(31),0.99881712093,1,,,,,,,,,,
,min,0.995,0.99881712093,72226,0.0,0.0,0.5,2.5,3.0,0.0,0.0,,,
,delta,,,1,,,,,,,,10628,0.00941,∆ abs(i)
,max,1.005,1.00461423839,134041,0.0,0.5,-3.0,0.5,0.5,-2.5,0.5,,,
,mean,1.00000000000(31),1.00258724882,-629,,,,,,,,,,
,min,0.995,1.00056025925,134671,0.0,0.5,-3.0,1.5,-2.5,-1.5,-0.5,,,
,delta,,,629,,,,,,,,10985,5.72599,∆ abs(i)
,max,1.005,0.99748383319,980646,0.5,-3.0,-1.5,-3.0,-1.5,-2.0,-1.0,,,
,mean,1.00000000000(31),0.99748383319,1,,,,,,,,,,
,min,0.995,0.99748383319,980646,0.5,-3.0,-1.5,-3.0,-1.5,-2.0,-1.0,,,
,delta,,,1,,,,,,,,10985,0.0091,∆ abs(i)
,max,1.005,1.00400511022,984263,0.5,-3.0,-1.0,-1.0,-1.5,2.5,0.5,,,
,mean,1.00000000000(31),1.00228088395,-485,,,,,,,,,,
,min,0.995,1.00055665768,984749,0.5,-3.0,-1.0,-0.5,-2.0,-3.0,0.5,,,
,delta,,,485,,,,,,,,65910,0.73585,∆ abs(i)
,max,1.005,1.00449155536,994247,0.5,-3.0,-0.5,2.5,-3.0,1.5,0.5,,,
,mean,1.00000000000(31),1.00050491807,203,,,,,,,,,,
,min,0.995,0.99651828079,994045,0.5,-3.0,-0.5,2.0,1.0,2.5,0.0,,,
,delta,,,203,,,,,,,,10985,1.84797,∆ abs(i)
u,particle,,,,,,,,,,,,,
,max,5.14,5.13,619,-0.5,3.0,0.5,-3.0,1.5,2.0,-1.0,,,
,mean,4.18(-0.51)(0.96),4.4,-340,,,,,,,,,,
,min,3.67,3.67,960,-0.5,3.0,0.5,-2.5,-1.5,-1.0,-0.5,,,
,delta,,,340,,,,,,,,1430,23.77622,∆ abs(i)
