sector,particle_key,particle_name,symbol,theory_str,theory_E,sd_minus,sd_plus,m_bin,E_mean,E_min,E_max,i_T_min,i_T_max,delta_i,counts,delta_i_over_counts,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C
broad,electron,e,e,1.00000000000(31),1.0,-0.005,0.0,256,0.9957737171482317,0.9957737171482317,0.9957737171482317,5895,5895,1,5455,0.00018331805682859762,0,0,0,1,-5,1,-1,0,0,0,1,-5,1,-1
broad,u,u,u,4.18(-0.51)(0.96),4.18,-0.51,0.96,255,4.402534530132434,3.674696401671524,5.130372658593344,2,199,198,199,0.9949748743718593,0,0,-1,-6,-6,2,-1,0,0,-1,-6,-5,-1,-2
broad,u,u,u,4.18(-0.51)(0.96),4.18,-0.51,0.96,256,4.403896410454309,3.6752701819292466,5.132522638979371,3615,5852,2238,5412,0.41352549889135254,0,0,0,-3,6,0,2,0,0,0,-3,4,-3,2
broad,u,u,u,4.18(-0.51)(0.96),4.18,-0.51,0.96,257,4.406234848339189,3.6742283159069755,5.138241380771403,14355,16511,2157,10511,0.2052135857672914,0,0,1,5,0,4,0,0,0,1,6,-1,-4,-2
broad,d,d,d,9.14(-0.33)(0.94),9.14,-0.33,0.94,256,9.446959686902543,8.81421275279558,10.079706621009507,2100,4811,2712,4371,0.6204529855868223,0,0,0,-1,-4,-3,-2,0,0,0,-2,-4,-1,-1
broad,d,d,d,9.14(-0.33)(0.94),9.14,-0.33,0.94,257,9.448984785003601,8.818029974536454,10.079939595470748,13275,15561,2287,9561,0.23920092040581528,0,0,1,2,5,-5,2,0,0,1,4,2,-6,-2
broad,s,s,s,182.8(-6.6)(16.8),182.8,-6.6,16.8,260,185.65948334875074,176.2004100838147,195.1185566136868,148446,153651,5206,27176,0.19156608772446276,0,2,-4,-2,-3,-6,1,0,2,-4,-6,-6,-6,-2
broad,s,s,s,182.8(-6.6)(16.8),182.8,-6.6,16.8,261,187.90267299773006,176.20608385164104,199.5992621438191,160960,169656,8697,21211,0.41002310122106456,0,2,-3,6,-6,5,-2,0,2,-3,-5,4,0,2
broad,s,s,s,182.8(-6.6)(16.8),182.8,-6.6,16.8,262,187.9024437781594,176.20493535983533,199.59995219648349,115491,181400,65910,21970,3.0,0,1,2,-5,0,4,2,0,2,-2,3,-5,-5,2
broad,s,s,s,182.8(-6.6)(16.8),182.8,-6.6,16.8,263,187.90185616695425,176.20470182618197,199.59901050772655,126865,135076,8212,8601,0.9547727008487386,0,1,3,4,-4,-2,-2,0,1,3,-6,4,6,0
broad,s,s,s,182.8(-6.6)(16.8),182.8,-6.6,16.8,264,188.86482051419705,178.13169684444708,199.59794418394705,143040,148445,5406,10985,0.4921256258534365,0,1,4,6,6,6,2,0,1,4,1,-2,-1,1
broad,muon,Muon,μ,206.7682827(46),206.7682827,-4.6e-06,4.6e-06,,,,,,,,,,,,,,,,,,,,,,,,
broad,pion_0,Pion 0,π0,264.1430(9),264.143,-0.0009,0.0009,264,264.1424864422173,264.14238391292224,264.14258897151234,193270,194936,1667,13536,0.123153073286052,0,2,0,-3,-6,-3,-2,0,2,0,-5,-6,1,2
broad,pion_0,Pion 0,π0,264.1430(9),264.143,-0.0009,0.0009,265,264.1423717559723,264.1423717559723,264.1423717559723,210666,210666,1,7296,0.00013706140350877192,0,2,1,2,2,-3,-2,0,2,1,2,2,-3,-2
broad,pion_pm,Pion +-,π±,273.13243(35),273.13243,-0.00035,0.00035,,,,,,,,,,,,,,,,,,,,,,,,
broad,k_pm,K +-,K±,966.102(21),966.102,-0.021,0.021,292,966.0999966290743,966.081079008319,966.1189142498297,642954,644542,1589,23742,0.06692780726139332,1,2,-4,-4,-5,-3,-1,1,2,-4,-6,-1,-3,2
broad,k_pm,K +-,K±,966.102(21),966.102,-0.021,0.021,293,966.0992109826238,966.0811914061744,966.1172305590732,658785,660976,2192,18206,0.12039986817532682,1,2,-3,1,-4,-6,2,1,2,-3,1,-6,1,1
broad,k_pm,K +-,K±,966.102(21),966.102,-0.021,0.021,294,966.1022001462877,966.0829635575008,966.1214367350747,610061,675325,65265,21570,3.025730180806676,1,1,2,-6,-3,4,-2,1,2,-2,6,0,4,2
broad,k_pm,K +-,K±,966.102(21),966.102,-0.021,0.021,295,966.0992755307782,966.0821217032841,966.1164293582723,624155,626281,2127,5481,0.3880678708264915,1,1,3,-1,0,-6,0,1,1,3,-1,-1,0,0
broad,k_pm,K +-,K±,966.102(21),966.102,-0.021,0.021,296,966.1013939793429,966.0810556656921,966.1217322929936,640790,642406,1617,10621,0.1522455512663591,1,1,4,6,-2,0,-1,1,1,4,5,4,-4,-1
broad,kl_0,KL 0,K_L0,973.800(26),973.8,-0.026,0.026,292,973.7808101247424,973.7768130018923,973.7848072475927,642796,643031,236,22231,0.01061580675633125,1,2,-4,-6,-2,-6,-2,1,2,-4,-6,-6,-1,-2
broad,kl_0,KL 0,K_L0,973.800(26),973.8,-0.026,0.026,293,973.7974524565582,973.7753367397659,973.8195681733505,656220,658966,2747,16196,0.16960978019264017,1,2,-3,-2,2,-6,1,1,2,-3,-3,5,3,0
broad,kl_0,KL 0,K_L0,973.800(26),973.8,-0.026,0.026,294,973.8002177243047,973.7752494235715,973.8251860250381,673315,674706,1392,20951,0.06644074268531334,1,2,-2,5,-6,-6,2,1,2,-2,5,-5,-3,1
broad,kl_0,KL 0,K_L0,973.800(26),973.8,-0.026,0.026,295,973.8039531210568,973.7820935044547,973.8258127376589,622280,624361,2082,3561,0.5846672283066554,1,1,3,-4,2,1,0,1,1,3,-5,6,-3,1
