sector,particle_key,particle_name,symbol,theory_str,theory_E,sd_minus,sd_plus,m_bin,E_mean,E_min,E_max,i_T_min,i_T_max,delta_i,counts,delta_i_over_counts,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C
heavy,electron,e,e,1.00000000000(31),1.0,-0.005,0.0,,,,,,,,,,,,,,,,,,,,,,,,
heavy,u,u,u,4.18(-0.51)(0.96),4.18,-0.51,0.96,,,,,,,,,,,,,,,,,,,,,,,,
heavy,d,d,d,9.14(-0.33)(0.94),9.14,-0.33,0.94,,,,,,,,,,,,,,,,,,,,,,,,
heavy,s,s,s,182.8(-6.6)(16.8),182.8,-6.6,16.8,,,,,,,,,,,,,,,,,,,,,,,,
heavy,muon,Muon,μ,206.7682827(46),206.7682827,-4.6e-06,4.6e-06,,,,,,,,,,,,,,,,,,,,,,,,
heavy,pion_0,Pion 0,π0,264.1430(9),264.143,-0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,
heavy,pion_pm,Pion +-,π±,273.13243(35),273.13243,-0.00035,0.00035,,,,,,,,,,,,,,,,,,,,,,,,
heavy,k_pm,K +-,K±,966.102(21),966.102,-0.021,0.021,,,,,,,,,,,,,,,,,,,,,,,,
heavy,kl_0,KL 0,K_L0,973.800(26),973.8,-0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,
heavy,ks_0,KS 0,K_S0,973.800(26),973.8,-0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,
heavy,eta,Eta,η,1072.139(35),1072.139,-0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,
heavy,rho_pm,Rho +-,ρ±,1506(1),1506.0,-1.0,1.0,316,1505.334763374371,1505.0562422239602,1505.6132845247819,12958,13009,52,52,1.0,2,0,-4,-6,-6,1,-2,2,0,-4,-6,-6,-6,-2
heavy,rho_pm,Rho +-,ρ±,1506(1),1506.0,-1.0,1.0,317,1506.000956147701,1505.0023755229008,1506.9995367725007,15677,18375,2699,5073,0.5320323280110388,2,0,-3,-1,-1,-4,-1,2,0,-3,-1,-3,6,-2
heavy,rho_pm,Rho +-,ρ±,1506(1),1506.0,-1.0,1.0,318,1506.005447021284,1505.0117454146969,1506.9991486278711,26224,28920,2697,10271,0.26258397429656316,2,0,-2,4,2,5,0,2,0,-2,3,3,-3,1
heavy,rho_pm,Rho +-,ρ±,1506(1),1506.0,-1.0,1.0,319,1505.9995101712848,1505.0029575419153,1506.9960628006543,790,3413,2624,3413,0.7688250805742748,2,-1,3,-4,5,6,-1,2,-1,3,-4,-4,-5,1
heavy,rho_pm,Rho +-,ρ±,1506(1),1506.0,-1.0,1.0,320,1505.9953450039382,1505.0030886581305,1506.9876013497458,10246,12492,2247,8661,0.25943886387253207,2,-1,4,4,-2,3,-2,2,-1,4,3,-3,1,-1
heavy,rho_0,Rho 0,ρ0,1517.14(49),1517.14,-0.49,0.49,317,1517.140668769915,1516.651976849437,1517.629360690393,13467,15388,1922,2086,0.9213806327900288,2,0,-3,-5,1,-6,-1,2,0,-3,-6,-2,4,1
heavy,rho_0,Rho 0,ρ0,1517.14(49),1517.14,-0.49,0.49,318,1517.1397773428614,1516.6536099996745,1517.6259446860483,23524,26255,2732,7606,0.35919011306863,2,0,-2,0,0,-2,2,2,0,-2,2,-2,-5,-2
heavy,rho_0,Rho 0,ρ0,1517.14(49),1517.14,-0.49,0.49,319,1517.1405012515843,1516.6541103320644,1517.6268921711044,2,40115,40114,14794,2.7115046640529945,2,0,-1,6,1,0,2,2,0,-1,6,4,3,0
heavy,rho_0,Rho 0,ρ0,1517.14(49),1517.14,-0.49,0.49,320,1517.1380036423998,1516.6576109910459,1517.618396293754,7121,9777,2657,5946,0.4468550285906492,2,-1,4,-1,3,-3,-1,2,-1,4,-2,1,4,1
heavy,omega,Omega,ω,1531.62(25),1531.62,-0.25,0.25,318,1531.6199548378754,1531.3705184039534,1531.8693912717972,19489,22120,2632,3471,0.7582829155862864,2,0,-2,-4,-5,4,2,2,0,-2,-5,5,3,0
heavy,omega,Omega,ω,1531.62(25),1531.62,-0.25,0.25,319,1531.6220917207975,1531.3749473596392,1531.8692360819555,35622,37813,2192,12492,0.175472302273455,2,0,-1,2,-2,-5,2,2,0,-1,3,-4,-6,0
heavy,omega,Omega,ω,1531.62(25),1531.62,-0.25,0.25,320,1531.618611019542,1531.3713284450416,1531.8658935940423,3966,5682,1717,1851,0.9276066990815776,2,-1,4,-4,-4,-5,-2,2,-1,4,-5,-2,0,-1
heavy,kstar_pm,K* +-,K*±,1745.2(1),1745.2,-0.1,0.1,324,1745.1998138211293,1745.1014098420694,1745.298217800189,193982,196528,2547,24571,0.10365878474624557,2,2,-4,-5,1,-2,-1,2,2,-4,-6,-4,1,2
heavy,kstar_pm,K* +-,K*±,1745.2(1),1745.2,-0.1,0.1,325,1745.2001941486,1745.1017163953607,1745.2986719018397,209717,212588,2872,18661,0.1539038636729007,2,2,-3,1,-2,5,-1,2,2,-3,0,2,-3,1
