base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.99000000,137464,7384,0.0537158820,u,839,0.0061034162
0.99100000,137463,7257,0.0527923878,u,835,0.0060743618
0.99200000,137462,7161,0.0520943970,u,837,0.0060889555
0.99300000,137462,7074,0.0514614948,u,832,0.0060525818
0.99400000,137461,7012,0.0510108322,u,831,0.0060453510
0.99500000,137460,6952,0.0505747126,u,830,0.0060381202
0.99600000,137461,6887,0.0501014833,u,830,0.0060380763
0.99700000,137462,6820,0.0496137114,u,823,0.0059871092
0.99800000,137458,6777,0.0493023323,u,827,0.0060163832
0.99900000,137458,6721,0.0488949352,u,823,0.0059872834
1.00000000,137460,6664,0.0484795577,u,819,0.0059580969
1.00100000,137457,6619,0.0481532406,u,820,0.0059655019
1.00200000,137456,6563,0.0477461879,u,820,0.0059655453
1.00300000,137457,6499,0.0472802404,u,815,0.0059291269
1.00400000,137457,6452,0.0469383153,u,816,0.0059364019
1.00500000,137457,6399,0.0465527401,u,817,0.0059436769
1.00600000,137459,6330,0.0460500949,u,808,0.0058781164
1.00700000,137458,6281,0.0456939574,u,804,0.0058490593
1.00800000,137455,6242,0.0454112255,u,807,0.0058710123
1.00900000,137456,6178,0.0449452916,u,803,0.0058418694
1.01000000,137453,6132,0.0446116127,u,803,0.0058419969
