base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.90000000,137498,18255,0.1327655675,d,777,0.0056509913
0.91000000,137496,17087,0.1242727061,d,760,0.0055274335
0.92000000,137494,17222,0.1252563748,d,746,0.0054256913
0.93000000,137494,16844,0.1225071639,d,738,0.0053675069
0.94000000,137494,16022,0.1165287213,d,733,0.0053311417
0.95000000,137485,15461,0.1124559043,d,734,0.0053387642
0.96000000,137483,13364,0.0972047453,d,722,0.0052515584
0.97000000,137479,11244,0.0817870366,d,713,0.0051862466
0.98000000,137470,9258,0.0673456027,d,702,0.0051065687
0.99000000,137464,7384,0.0537158820,d,697,0.0050704184
1.00000000,137460,6664,0.0484795577,d,684,0.0049759930
1.01000000,137453,6132,0.0446116127,d,680,0.0049471456
1.02000000,137451,6236,0.0453688951,d,670,0.0048744644
1.03000000,137450,7623,0.0554601673,d,666,0.0048453983
1.04000000,137446,9043,0.0657931115,d,660,0.0048018858
1.05000000,137438,10143,0.0738005501,d,651,0.0047366813
1.06000000,137433,11254,0.0818871741,d,644,0.0046859197
1.07000000,137431,12191,0.0887063326,d,632,0.0045986713
1.08000000,137424,12469,0.0907337874,d,633,0.0046061823
1.09000000,137418,12285,0.0893987687,d,633,0.0046063834
1.10000000,137411,12048,0.0876785701,d,626,0.0045556760
