base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.90000000,137498,18255,0.1327655675,s,16483,0.1198781073
0.91000000,137496,17087,0.1242727061,s,15357,0.1116905219
0.92000000,137494,17222,0.1252563748,s,15528,0.1129358372
0.93000000,137494,16844,0.1225071639,s,15172,0.1103466333
0.94000000,137494,16022,0.1165287213,s,14371,0.1045209245
0.95000000,137485,15461,0.1124559043,s,13818,0.1005055097
0.96000000,137483,13364,0.0972047453,s,11743,0.0854141967
0.97000000,137479,11244,0.0817870366,s,9655,0.0702289077
0.98000000,137470,9258,0.0673456027,s,7689,0.0559322034
0.99000000,137464,7384,0.0537158820,s,5841,0.0424911249
1.00000000,137460,6664,0.0484795577,s,5157,0.0375163684
1.01000000,137453,6132,0.0446116127,s,4640,0.0337569933
1.02000000,137451,6236,0.0453688951,s,4774,0.0347323774
1.03000000,137450,7623,0.0554601673,s,6183,0.0449836304
1.04000000,137446,9043,0.0657931115,s,7624,0.0554690569
1.05000000,137438,10143,0.0738005501,s,8753,0.0636868988
1.06000000,137433,11254,0.0818871741,s,9875,0.0718531939
1.07000000,137431,12191,0.0887063326,s,10851,0.0789559852
1.08000000,137424,12469,0.0907337874,s,11143,0.0810848178
1.09000000,137418,12285,0.0893987687,s,10975,0.0798658109
1.10000000,137411,12048,0.0876785701,s,10758,0.0782906754
