sector,particle_key,particle_name,symbol,theory_str,theory_E,sd_minus,sd_plus,m_bin,E_mean,E_min,E_max,i_T_min,i_T_max,delta_i,counts,delta_i_over_counts,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C
minimal,electron,e,e,1.00000000000(31),1.0,-0.005,0.0,256,0.9957737171482317,0.9957737171482317,0.9957737171482317,5895,5895,1,5455,0.00018331805682859762,0,0,0,1,-5,1,-1,0,0,0,1,-5,1,-1
minimal,u,u,u,4.18(-0.51)(0.96),4.18,-0.51,0.96,255,4.402534530132434,3.674696401671524,5.130372658593344,2,199,198,199,0.9949748743718593,0,0,-1,-6,-6,2,-1,0,0,-1,-6,-5,-1,-2
minimal,u,u,u,4.18(-0.51)(0.96),4.18,-0.51,0.96,256,4.403896410454309,3.6752701819292466,5.132522638979371,3615,5852,2238,5412,0.41352549889135254,0,0,0,-3,6,0,2,0,0,0,-3,4,-3,2
minimal,u,u,u,4.18(-0.51)(0.96),4.18,-0.51,0.96,257,4.406234848339189,3.6742283159069755,5.138241380771403,14355,16511,2157,10511,0.2052135857672914,0,0,1,5,0,4,0,0,0,1,6,-1,-4,-2
minimal,d,d,d,9.14(-0.33)(0.94),9.14,-0.33,0.94,256,9.446959686902543,8.81421275279558,10.079706621009507,2100,4811,2712,4371,0.6204529855868223,0,0,0,-1,-4,-3,-2,0,0,0,-2,-4,-1,-1
minimal,d,d,d,9.14(-0.33)(0.94),9.14,-0.33,0.94,257,9.448984785003601,8.818029974536454,10.079939595470748,13275,15561,2287,9561,0.23920092040581528,0,0,1,2,5,-5,2,0,0,1,4,2,-6,-2
minimal,s,s,s,182.8(-6.6)(16.8),182.8,-6.6,16.8,,,,,,,,,,,,,,,,,,,,,,,,
minimal,muon,Muon,μ,206.7682827(46),206.7682827,-4.6e-06,4.6e-06,,,,,,,,,,,,,,,,,,,,,,,,
minimal,pion_0,Pion 0,π0,264.1430(9),264.143,-0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,
minimal,pion_pm,Pion +-,π±,273.13243(35),273.13243,-0.00035,0.00035,,,,,,,,,,,,,,,,,,,,,,,,
minimal,k_pm,K +-,K±,966.102(21),966.102,-0.021,0.021,,,,,,,,,,,,,,,,,,,,,,,,
minimal,kl_0,KL 0,K_L0,973.800(26),973.8,-0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,
minimal,ks_0,KS 0,K_S0,973.800(26),973.8,-0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,
minimal,eta,Eta,η,1072.139(35),1072.139,-0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,
minimal,rho_pm,Rho +-,ρ±,1506(1),1506.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
minimal,rho_0,Rho 0,ρ0,1517.14(49),1517.14,-0.49,0.49,,,,,,,,,,,,,,,,,,,,,,,,
minimal,omega,Omega,ω,1531.62(25),1531.62,-0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
minimal,kstar_pm,K* +-,K*±,1745.2(1),1745.2,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,
minimal,kstar_0,K* 0,K*0,1752.6(1),1752.6,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,
minimal,proton,Proton,p,1836.152673426(32),1836.152673426,-3.2e-08,3.2e-08,,,,,,,,,,,,,,,,,,,,,,,,
minimal,h_atom,H,H,1837.47(-0.29)(0.20),1837.47,-0.29,0.2,,,,,,,,,,,,,,,,,,,,,,,,
minimal,neutron,Neutron,n,1838.68366200(74),1838.683662,-7.4e-07,7.4e-07,,,,,,,,,,,,,,,,,,,,,,,,
minimal,eta_prime,Eta`,η′,1874.32(11),1874.32,-0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,
minimal,phi,Phi,φ,1995.035(31),1995.035,-0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,,
minimal,c,c,c,2485(-39)(39),2485.0,-39.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,
minimal,tau,Tau,τ,3477.23(23),3477.23,-0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,
minimal,d_0,D 0,D0,3649.38(10),3649.38,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,
minimal,d_plus,D +,D+,3658.81(10),3658.81,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,
minimal,deuteron,Deuteron,D,3670.4829677(11),3670.4829677,-1.1e-06,1.1e-06,,,,,,,,,,,,,,,,,,,,,,,,
minimal,ds_plus,DS +,D_s+,3851.94(13),3851.94,-0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,,
minimal,higgs,Higgs,Higgs,244830(210),244830.0,-210.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,
minimal,t,t,t,337710(570),337710.0,-570.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,
