base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.99900000,27608,1513,0.0548029557,u,823,0.0298101999
0.99910000,27609,1513,0.0548009707,u,822,0.0297729001
0.99920000,27609,1508,0.0546198703,u,818,0.0296280198
0.99930000,27609,1508,0.0546198703,u,817,0.0295917998
0.99940000,27610,1508,0.0546178921,u,819,0.0296631655
0.99950000,27609,1513,0.0548009707,u,822,0.0297729001
0.99960000,27609,1514,0.0548371908,u,823,0.0298091202
0.99970000,27608,1512,0.0547667343,u,823,0.0298101999
0.99980000,27608,1514,0.0548391771,u,822,0.0297739786
0.99990000,27608,1512,0.0547667343,u,822,0.0297739786
1.00000000,27610,1504,0.0544730170,u,819,0.0296631655
1.00010000,27610,1500,0.0543281420,u,818,0.0296269468
1.00020000,27610,1501,0.0543643607,u,819,0.0296631655
1.00030000,27610,1502,0.0544005795,u,820,0.0296993843
1.00040000,27608,1508,0.0546218487,u,821,0.0297377572
1.00050000,27608,1508,0.0546218487,u,822,0.0297739786
1.00060000,27608,1506,0.0545494060,u,822,0.0297739786
1.00070000,27608,1506,0.0545494060,u,822,0.0297739786
1.00080000,27606,1507,0.0545895820,u,822,0.0297761356
1.00090000,27607,1505,0.0545151592,u,820,0.0297026117
1.00100000,27607,1508,0.0546238273,u,820,0.0297026117
