base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.90000000,27648,1772,0.0640914352,d,777,0.0281032986
0.91000000,27646,1730,0.0625768646,d,760,0.0274904145
0.92000000,27644,1694,0.0612791202,d,746,0.0269859644
0.93000000,27644,1672,0.0604832875,d,738,0.0266965707
0.94000000,27644,1651,0.0597236290,d,733,0.0265156996
0.95000000,27635,1641,0.0593812195,d,734,0.0265605211
0.96000000,27633,1620,0.0586255564,d,722,0.0261281801
0.97000000,27629,1588,0.0574758406,d,713,0.0258062181
0.98000000,27620,1567,0.0567342505,d,702,0.0254163650
0.99000000,27614,1541,0.0558050264,d,697,0.0252408199
1.00000000,27610,1504,0.0544730170,d,684,0.0247736327
1.01000000,27603,1489,0.0539434119,d,680,0.0246350034
1.02000000,27601,1462,0.0529690953,d,670,0.0242744828
1.03000000,27600,1438,0.0521014493,d,666,0.0241304348
1.04000000,27596,1417,0.0513480215,d,660,0.0239165096
1.05000000,27588,1389,0.0503479774,d,651,0.0235972162
1.06000000,27583,1376,0.0498857992,d,644,0.0233477142
1.07000000,27581,1339,0.0485479134,d,632,0.0229143251
1.08000000,27574,1325,0.0480525132,d,633,0.0229564082
1.09000000,27568,1310,0.0475188624,d,633,0.0229614045
1.10000000,27561,1289,0.0467689852,d,626,0.0227132542
