base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.90000000,27648,1772,0.0640914352,electron,3,0.0001085069
0.91000000,27646,1730,0.0625768646,electron,1,0.0000361716
0.92000000,27644,1694,0.0612791202,electron,3,0.0001085226
0.93000000,27644,1672,0.0604832875,electron,3,0.0001085226
0.94000000,27644,1651,0.0597236290,electron,1,0.0000361742
0.95000000,27635,1641,0.0593812195,electron,5,0.0001809300
0.96000000,27633,1620,0.0586255564,electron,6,0.0002171317
0.97000000,27629,1588,0.0574758406,electron,3,0.0001085816
0.98000000,27620,1567,0.0567342505,electron,4,0.0001448226
0.99000000,27614,1541,0.0558050264,electron,5,0.0001810676
1.00000000,27610,1504,0.0544730170,electron,1,0.0000362188
1.01000000,27603,1489,0.0539434119,electron,6,0.0002173677
1.02000000,27601,1462,0.0529690953,electron,3,0.0001086917
1.03000000,27600,1438,0.0521014493,electron,2,0.0000724638
1.04000000,27596,1417,0.0513480215,electron,2,0.0000724743
1.05000000,27588,1389,0.0503479774,electron,2,0.0000724953
1.06000000,27583,1376,0.0498857992,electron,2,0.0000725084
1.07000000,27581,1339,0.0485479134,electron,2,0.0000725137
1.08000000,27574,1325,0.0480525132,electron,2,0.0000725321
1.09000000,27568,1310,0.0475188624,electron,1,0.0000362739
1.10000000,27561,1289,0.0467689852,electron,6,0.0002176989
