particle,row_type,theory,E,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note
e,mean,1.00000000000(31),,,,,,,,,,,,only with i4 > 1
u,mean,4.18(-0.51)(0.96),,,,,,,,,,,,only with i4 > 1
d,mean,9.14(-0.33)(0.94),,,,,,,,,,,,only with i4 > 1
s,mean,182.8(-6.6)(16.8),,,,,,,,,,,,only with i4 > 1
Muon,mean,206.7682827(46),,,,,,,,,,,,only with i4 > 1
Pion 0,mean,264.1430(9),,,,,,,,,,,,only with i4 > 1
Pion +-,mean,273.13243(35),,,,,,,,,,,,only with i4 > 1
K +-,mean,966.102(21),,,,,,,,,,,,only with i4 > 1
KL 0,mean,973.800(26),,,,,,,,,,,,only with i4 > 1
KS 0,mean,973.800(26),,,,,,,,,,,,only with i4 > 1
Eta,mean,1072.139(35),,,,,,,,,,,,only with i4 > 1
Rho +-,mean,1506(1),,,,,,,,,,,,only with i4 > 1
Rho 0,mean,1517.14(49),,,,,,,,,,,,only with i4 > 1
Omega,mean,1531.62(25),,,,,,,,,,,,only with i4 > 1
K* +-,mean,1745.2(1),,,,,,,,,,,,only with i4 > 1
K* 0,mean,1752.6(1),,,,,,,,,,,,only with i4 > 1
Proton,particle,,,,,,,,,,,,,
,max,1836.152673458,1836.152673408,989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
,mean,1836.152673426(32),1836.152673408,1,,,,,,,,,,
,min,1836.152673394,1836.152673408,989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
,delta,,,1,,,,,,,,10985,0.0091,∆ abs(i)
,total,,,1,,,,,,,,10985,0.0091,Σ ∆i
H,particle,,,,,,,,,,,,,
,max,1837.67,1837.66,148,1.0,1.0,0.5,-2.0,-1.5,1.5,1.0,,,
,mean,1837.47(-0.29)(0.20),1837.42,-89,,,,,,,,,,
,min,1837.18,1837.18,238,1.0,1.0,0.5,-2.0,0.0,3.0,0.5,,,
,delta,,,89,,,,,,,,10985,0.8102,∆ abs(i)
,max,1837.67,1837.66,1538,1.0,1.0,1.0,2.0,-1.0,2.5,-1.0,,,
,mean,1837.47(-0.29)(0.20),1837.42,611,,,,,,,,,,
,min,1837.18,1837.18,928,1.0,1.0,1.0,1.0,0.0,0.5,1.0,,,
,delta,,,611,,,,,,,,10985,5.56213,∆ abs(i)
,total,,,700,,,,,,,,21970,3.18616,Σ ∆i
Neutron,particle,,,,,,,,,,,,,
,max,1838.68366273,1838.68366244,987,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,
,mean,1838.68366200(74),1838.68366244,1,,,,,,,,,,
,min,1838.68366126,1838.68366244,987,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,
,delta,,,1,,,,,,,,10985,0.0091,∆ abs(i)
,total,,,1,,,,,,,,10985,0.0091,Σ ∆i
Eta`,mean,1874.32(11),,,,,,,,,,,,only with i4 > 1
Phi,mean,1995.035(31),,,,,,,,,,,,only with i4 > 1
c,mean,2485(-39)(39),,,,,,,,,,,,only with i4 > 1
Tau,mean,3477.23(23),,,,,,,,,,,,only with i4 > 1
D 0,mean,3649.38(10),,,,,,,,,,,,only with i4 > 1
D +,mean,3658.81(10),,,,,,,,,,,,only with i4 > 1
Deuteron,mean,3670.4829677(11),,,,,,,,,,,,only with i4 > 1
DS +,mean,3851.94(13),,,,,,,,,,,,only with i4 > 1
Higgs,mean,244830(210),,,,,,,,,,,,only with i4 > 1
