base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.99900000,1424,230,0.1615168539,,,
0.99910000,1473,241,0.1636116768,,,
0.99920000,1515,245,0.1617161716,,,
0.99930000,1554,254,0.1634491634,,,
0.99940000,1578,259,0.1641318124,,,
0.99950000,1591,261,0.1640477687,,,
0.99960000,1606,260,0.1618929016,,,
0.99970000,1604,264,0.1645885287,,,
0.99980000,1603,263,0.1640673737,,,
0.99990000,1618,258,0.1594561187,,,
1.00000000,1614,266,0.1648079306,,,
1.00010000,1617,261,0.1614100186,,,
1.00020000,1613,267,0.1655300682,,,
1.00030000,1613,260,0.1611903286,,,
1.00040000,1615,263,0.1628482972,,,
1.00050000,1619,264,0.1630636195,,,
1.00060000,1627,264,0.1622618316,,,
1.00070000,1647,274,0.1663630844,,,
1.00080000,1670,270,0.1616766467,,,
1.00090000,1671,277,0.1657690006,,,
1.00100000,1695,269,0.1587020649,,,
