sector,particle_key,particle_name,symbol,theory_str,theory_E,sd_minus,sd_plus,m_bin,E_mean,E_min,E_max,i_T_min,i_T_max,delta_i,counts,delta_i_over_counts,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C
broad,electron,e,e,1.00000000000(31),1.0,-0.005,0.0,256,0.9978628463111903,0.9957952659258207,0.9999304266965598,6438,60656,54219,16577,3.2707365627073655,0,1,-4,6,6,5,0,0,0,0,0,5,-5,-2
broad,u,u,u,4.18(-0.51)(0.96),4.18,-0.51,0.96,255,4.4019466043681055,3.673408530234664,5.1304846785015465,36,811,776,778,0.9974293059125964,0,0,-1,-6,-5,4,0,0,0,-1,-6,-2,5,-2
broad,u,u,u,4.18(-0.51)(0.96),4.18,-0.51,0.96,256,4.403293846460683,3.6713726074613424,5.135215085460022,4106,60657,56552,16578,3.4112679454698998,0,0,0,-2,3,0,0,0,0,0,-1,2,-4,-2
broad,u,u,u,4.18(-0.51)(0.96),4.18,-0.51,0.96,257,4.405707735837378,3.671448504041666,5.13996696763309,14081,16581,2501,9945,0.2514831573655103,0,0,1,4,6,3,-2,0,0,1,2,6,2,1
broad,d,d,d,9.14(-0.33)(0.94),9.14,-0.33,0.94,256,9.444540142580472,8.81149295212046,10.077587333040485,2481,60243,57763,16164,3.5735585251175452,0,0,0,-3,1,4,-1,0,0,0,-2,-3,-1,-2
broad,d,d,d,9.14(-0.33)(0.94),9.14,-0.33,0.94,257,9.445686559206816,8.815237526091689,10.076135592321943,12456,15292,2837,8656,0.32774953789279115,0,0,1,4,-3,-4,-2,0,0,1,3,0,-5,-2
broad,d,d,d,9.14(-0.33)(0.94),9.14,-0.33,0.94,258,9.438640734889574,8.816776421735412,10.060505048043737,27437,27725,289,10983,0.026313393426204135,0,0,2,6,5,-1,2,0,0,2,6,6,2,0
broad,s,s,s,182.8(-6.6)(16.8),182.8,-6.6,16.8,264,179.89375305587845,176.20034824104422,183.58715787071267,192480,194385,1906,12891,0.14785509270033356,0,2,0,-5,-1,1,-1,0,2,0,-6,-6,-6,-2
broad,s,s,s,182.8(-6.6)(16.8),182.8,-6.6,16.8,265,187.24897170748858,176.2001201694444,198.29782324553278,203465,210240,6776,6776,1.0,0,2,1,0,-4,-1,1,0,2,1,-6,-6,-6,-2
broad,s,s,s,182.8(-6.6)(16.8),182.8,-6.6,16.8,266,187.89924731307815,176.20017230509114,199.59832232106513,215979,225125,9147,10676,0.8567815661296365,0,2,2,5,-2,4,1,0,2,2,-2,-3,6,-2
broad,s,s,s,182.8(-6.6)(16.8),182.8,-6.6,16.8,267,191.3621130163599,183.13450489531832,199.5897211374015,231334,236419,5086,10985,0.462994993172508,0,2,3,6,6,6,2,0,2,3,2,-5,4,2
broad,s,s,s,182.8(-6.6)(16.8),182.8,-6.6,16.8,268,198.75809328602452,197.93129117502022,199.58489539702882,247199,247404,206,10985,0.018752844788347746,0,2,4,6,6,6,2,0,2,4,6,6,-1,1
broad,s,s,s,182.8(-6.6)(16.8),182.8,-6.6,16.8,276,196.0632563413771,192.53965778345489,199.5868548992993,256504,258389,1886,10985,0.17168866636322258,1,-2,-4,6,6,6,2,1,-2,-4,6,3,5,-2
broad,muon,Muon,μ,206.7682827(46),206.7682827,-4.6e-06,4.6e-06,276,206.76828393324854,206.76828393324854,206.76828393324854,254923,254923,1,7519,0.0001329964090969544,1,-2,-4,2,5,2,1,1,-2,-4,2,5,2,1
broad,pion_0,Pion 0,π0,264.1430(9),264.143,-0.0009,0.0009,279,264.142991847478,264.142991847478,264.142991847478,285512,285512,1,5153,0.00019406171162429653,1,-2,-1,0,-5,-3,0,1,-2,-1,0,-5,-3,0
broad,pion_pm,Pion +-,π±,273.13243(35),273.13243,-0.00035,0.00035,280,273.1324153328831,273.1324153328831,273.1324153328831,296909,296909,1,5565,0.00017969451931716083,1,-2,0,0,1,1,2,1,-2,0,0,1,1,2
broad,k_pm,K +-,K±,966.102(21),966.102,-0.021,0.021,324,966.1018172604379,966.0825327056642,966.1211018152115,1082914,1146691,63778,31472,2.0264997458057956,2,1,0,-5,0,1,1,2,1,0,-5,1,-2,1
broad,k_pm,K +-,K±,966.102(21),966.102,-0.021,0.021,325,966.1038515504301,966.0887520349733,966.118951065887,1098254,1100895,2642,7646,0.34554015171331415,2,1,1,1,-2,-6,1,2,1,1,-1,5,6,2
broad,k_pm,K +-,K±,966.102(21),966.102,-0.021,0.021,326,966.0939192218275,966.0820205346929,966.1058179089621,1114144,1115101,958,10867,0.08815680500598141,2,1,2,6,-3,4,2,2,1,2,6,-2,-5,2
broad,kl_0,KL 0,K_L0,973.800(26),973.8,-0.026,0.026,324,973.8006273710555,973.7789360791796,973.8223186629314,1082381,1144161,61781,28942,2.1346486075599476,2,1,0,-6,-4,-1,-1,2,2,-4,0,-1,-3,2
broad,kl_0,KL 0,K_L0,973.800(26),973.8,-0.026,0.026,325,973.7984977803023,973.7743420070343,973.8226535535704,1095784,1159041,63258,21852,2.8948380010982975,2,2,-3,5,-4,6,2,2,2,-3,5,0,5,2
broad,kl_0,KL 0,K_L0,973.800(26),973.8,-0.026,0.026,326,973.7980156932722,973.7765466735003,973.8194847130442,1111669,1113805,2137,9571,0.22327865426810156,2,1,2,5,-2,-3,-2,2,1,2,3,-1,-6,2
broad,ks_0,KS 0,K_S0,973.800(26),973.8,-0.026,0.026,324,973.8006273710555,973.7789360791796,973.8223186629314,1082381,1144161,61781,28942,2.1346486075599476,2,1,0,-6,-4,-1,-1,2,2,-4,0,-1,-3,2
broad,ks_0,KS 0,K_S0,973.800(26),973.8,-0.026,0.026,325,973.7984977803023,973.7743420070343,973.8226535535704,1095784,1159041,63258,21852,2.8948380010982975,2,2,-3,5,-4,6,2,2,2,-3,5,0,5,2
broad,ks_0,KS 0,K_S0,973.800(26),973.8,-0.026,0.026,326,973.7980156932722,973.7765466735003,973.8194847130442,1111669,1113805,2137,9571,0.22327865426810156,2,1,2,5,-2,-3,-2,2,1,2,3,-1,-6,2
broad,eta,Eta,η,1072.139(35),1072.139,-0.035,0.035,330,1072.1366769634114,1072.1079701326935,1072.1653837941296,1204754,1207365,2612,4266,0.6122831692451945,2,2,2,-4,1,0,2,2,2,2,-3,0,-3,0
broad,eta,Eta,η,1072.139(35),1072.139,-0.035,0.035,331,1072.1387994158765,1072.107025526496,1072.170573305257,1220604,1222735,2132,8651,0.24644549763033174,2,2,3,2,5,-6,-1,2,2,3,2,0,-1,1
broad,eta,Eta,η,1072.139(35),1072.139,-0.035,0.035,332,1072.1474780605804,1072.1231784627078,1072.1717776584533,1235969,1235979,11,10910,0.0010082493125572868,2,2,4,6,5,4,2,2,2,4,6,5,2,2
broad,rho_pm,Rho +-,ρ±,1506(1),1506.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
broad,rho_0,Rho 0,ρ0,1517.14(49),1517.14,-0.49,0.49,,,,,,,,,,,,,,,,,,,,,,,,
broad,omega,Omega,ω,1531.62(25),1531.62,-0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
broad,kstar_pm,K* +-,K*±,1745.2(1),1745.2,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,
broad,kstar_0,K* 0,K*0,1752.6(1),1752.6,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,
broad,proton,Proton,p,1836.152673426(32),1836.152673426,-3.2e-08,3.2e-08,,,,,,,,,,,,,,,,,,,,,,,,
broad,h_atom,H,H,1837.47(-0.29)(0.20),1837.47,-0.29,0.2,,,,,,,,,,,,,,,,,,,,,,,,
broad,neutron,Neutron,n,1838.68366200(74),1838.683662,-7.4e-07,7.4e-07,,,,,,,,,,,,,,,,,,,,,,,,
broad,eta_prime,Eta`,η′,1874.32(11),1874.32,-0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,
broad,phi,Phi,φ,1995.035(31),1995.035,-0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,,
broad,c,c,c,2485(-39)(39),2485.0,-39.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,
broad,tau,Tau,τ,3477.23(23),3477.23,-0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,
