sector,particle_key,particle_name,symbol,theory_str,theory_E,sd_minus,sd_plus,m_bin,E_mean,E_min,E_max,i_T_min,i_T_max,delta_i,counts,delta_i_over_counts,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C
heavy,electron,e,e,1.00000000000(31),1.0,-0.005,0.0,,,,,,,,,,,,,,,,,,,,,,,,
heavy,u,u,u,4.18(-0.51)(0.96),4.18,-0.51,0.96,,,,,,,,,,,,,,,,,,,,,,,,
heavy,d,d,d,9.14(-0.33)(0.94),9.14,-0.33,0.94,,,,,,,,,,,,,,,,,,,,,,,,
heavy,s,s,s,182.8(-6.6)(16.8),182.8,-6.6,16.8,,,,,,,,,,,,,,,,,,,,,,,,
heavy,muon,Muon,μ,206.7682827(46),206.7682827,-4.6e-06,4.6e-06,,,,,,,,,,,,,,,,,,,,,,,,
heavy,pion_0,Pion 0,π0,264.1430(9),264.143,-0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,
heavy,pion_pm,Pion +-,π±,273.13243(35),273.13243,-0.00035,0.00035,,,,,,,,,,,,,,,,,,,,,,,,
heavy,k_pm,K +-,K±,966.102(21),966.102,-0.021,0.021,,,,,,,,,,,,,,,,,,,,,,,,
heavy,kl_0,KL 0,K_L0,973.800(26),973.8,-0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,
heavy,ks_0,KS 0,K_S0,973.800(26),973.8,-0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,
heavy,eta,Eta,η,1072.139(35),1072.139,-0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,
heavy,rho_pm,Rho +-,ρ±,1506(1),1506.0,-1.0,1.0,360,1505.999866726964,1505.0016502234414,1506.9980832304866,28056,30916,2861,2920,0.9797945205479452,3,3,-4,-5,2,-1,0,3,3,-4,-6,0,-6,2
heavy,rho_pm,Rho +-,ρ±,1506(1),1506.0,-1.0,1.0,361,1506.002532678881,1505.005370433092,1506.99969492467,2,38529,38528,8542,4.510419105595879,3,2,1,-5,-5,-5,-2,3,2,1,-6,-4,-2,-2
heavy,rho_pm,Rho +-,ρ±,1506(1),1506.0,-1.0,1.0,362,1505.9999537455747,1505.0001536015725,1506.9997538895768,3496,49734,46239,16656,2.776116714697406,3,3,-2,6,4,-1,-1,3,3,-2,4,6,-5,2
heavy,rho_pm,Rho +-,ρ±,1506(1),1506.0,-1.0,1.0,363,1506.003736160428,1505.010781108469,1506.9966912123868,14082,16733,2652,9916,0.26744655102864057,3,2,3,4,-2,4,0,3,2,3,2,5,3,0
heavy,rho_pm,Rho +-,ρ±,1506(1),1506.0,-1.0,1.0,371,1506.000657957894,1505.003235747279,1506.9980801685087,215527,217842,2316,13425,0.17251396648044692,4,-3,-1,-6,6,-4,0,4,-3,-1,-6,1,-1,0
heavy,rho_pm,Rho +-,ρ±,1506(1),1506.0,-1.0,1.0,372,1506.0001152787117,1505.0007561747202,1506.9994743827033,214537,280558,66022,30293,2.1794473970884365,4,-3,0,1,2,4,-2,4,-3,0,-1,-1,0,2
heavy,rho_pm,Rho +-,ρ±,1506(1),1506.0,-1.0,1.0,373,1506.001031889668,1505.0027347553867,1506.9993290239495,234113,236546,2434,10878,0.22375436661150946,4,-3,1,6,-3,-3,1,4,-3,1,4,5,2,0
heavy,rho_0,Rho 0,ρ0,1517.14(49),1517.14,-0.49,0.49,360,1517.054568866385,1517.054568866385,1517.054568866385,27997,27997,1,1,1.0,3,3,-4,-6,-6,-6,-2,3,3,-4,-6,-6,-6,-2
heavy,rho_0,Rho 0,ρ0,1517.14(49),1517.14,-0.49,0.49,361,1517.1369106420077,1516.6523460672015,1517.621475216814,31743,35449,3707,5462,0.6786891248626876,3,3,-3,-2,-3,-4,-1,3,3,-3,-4,-3,4,0
heavy,rho_0,Rho 0,ρ0,1517.14(49),1517.14,-0.49,0.49,362,1517.1406601967774,1516.6523168054105,1517.6290035881445,1136,47435,46300,14357,3.2249077105244828,3,2,2,-5,-2,0,-1,3,3,-2,3,-5,0,-1
heavy,rho_0,Rho 0,ρ0,1517.14(49),1517.14,-0.49,0.49,363,1517.1399515356316,1516.6509266564437,1517.6289764148196,10737,60742,50006,21176,2.36144692104269,3,2,3,0,-4,-4,1,3,2,3,1,-5,6,-2
heavy,rho_0,Rho 0,ρ0,1517.14(49),1517.14,-0.49,0.49,364,1517.1382655677871,1516.6515587837532,1517.624972351821,25311,27582,2272,10571,0.21492763220130545,3,2,4,5,-3,3,1,3,2,4,5,-5,4,1
heavy,rho_0,Rho 0,ρ0,1517.14(49),1517.14,-0.49,0.49,372,1517.1403324343291,1516.6506703271086,1517.6299945415496,218957,280042,61086,29777,2.051449105013937,4,-3,0,-4,3,3,-1,4,-2,-4,2,4,2,1
heavy,rho_0,Rho 0,ρ0,1517.14(49),1517.14,-0.49,0.49,373,1517.1484767069692,1516.6676200458733,1517.6293333680649,231253,233564,2312,7896,0.292806484295846,4,-3,1,1,0,-4,2,4,-3,1,2,-6,-6,1
