sector,particle_key,particle_name,symbol,theory_str,theory_E,sd_minus,sd_plus,m_bin,E_mean,E_min,E_max,i_T_min,i_T_max,delta_i,counts,delta_i_over_counts,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C
light,electron,e,e,1.00000000000(31),1.0,-0.005,0.0,256,0.9999304266965598,0.9999304266965598,0.9999304266965598,6405,6405,1,5387,0.00018563207722294413,0,0,0,0,5,-5,-2,0,0,0,0,5,-5,-2
light,u,u,u,4.18(-0.51)(0.96),4.18,-0.51,0.96,255,4.4019466043681055,3.673408530234664,5.1304846785015465,3,778,776,778,0.9974293059125964,0,0,-1,-6,-5,4,0,0,0,-1,-6,-2,5,-2
light,u,u,u,4.18(-0.51)(0.96),4.18,-0.51,0.96,256,4.403293846460683,3.6713726074613424,5.135215085460022,4073,6428,2356,5410,0.4354898336414048,0,0,0,-2,3,0,0,0,0,0,-1,2,-4,-2
light,u,u,u,4.18(-0.51)(0.96),4.18,-0.51,0.96,257,4.405707735837378,3.671448504041666,5.13996696763309,14048,16548,2501,9945,0.2514831573655103,0,0,1,4,6,3,-2,0,0,1,2,6,2,1
light,d,d,d,9.14(-0.33)(0.94),9.14,-0.33,0.94,256,9.444540142580472,8.81149295212046,10.077587333040485,2448,5307,2860,4289,0.666822103054325,0,0,0,-3,1,4,-1,0,0,0,-2,-3,-1,-2
light,d,d,d,9.14(-0.33)(0.94),9.14,-0.33,0.94,257,9.445686559206816,8.815237526091689,10.076135592321943,12423,15259,2837,8656,0.32774953789279115,0,0,1,4,-3,-4,-2,0,0,1,3,0,-5,-2
light,d,d,d,9.14(-0.33)(0.94),9.14,-0.33,0.94,258,9.438640734889574,8.816776421735412,10.060505048043737,27404,27692,289,10983,0.026313393426204135,0,0,2,6,5,-1,2,0,0,2,6,6,2,0
light,s,s,s,182.8(-6.6)(16.8),182.8,-6.6,16.8,264,179.89375305587845,176.20034824104422,183.58715787071267,104590,106495,1906,1906,1.0,0,2,0,-5,-1,1,-1,0,2,0,-6,-6,-6,-2
light,s,s,s,182.8(-6.6)(16.8),182.8,-6.6,16.8,265,187.24897170748858,176.2001201694444,198.29782324553278,115575,122350,6776,6776,1.0,0,2,1,0,-4,-1,1,0,2,1,-6,-6,-6,-2
light,s,s,s,182.8(-6.6)(16.8),182.8,-6.6,16.8,266,187.89924731307815,176.20017230509114,199.59832232106513,128089,137235,9147,10676,0.8567815661296365,0,2,2,5,-2,4,1,0,2,2,-2,-3,6,-2
light,muon,Muon,μ,206.7682827(46),206.7682827,-4.6e-06,4.6e-06,,,,,,,,,,,,,,,,,,,,,,,,
light,pion_0,Pion 0,π0,264.1430(9),264.143,-0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,
light,pion_pm,Pion +-,π±,273.13243(35),273.13243,-0.00035,0.00035,,,,,,,,,,,,,,,,,,,,,,,,
light,k_pm,K +-,K±,966.102(21),966.102,-0.021,0.021,,,,,,,,,,,,,,,,,,,,,,,,
light,kl_0,KL 0,K_L0,973.800(26),973.8,-0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,
light,ks_0,KS 0,K_S0,973.800(26),973.8,-0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,
light,eta,Eta,η,1072.139(35),1072.139,-0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,
light,rho_pm,Rho +-,ρ±,1506(1),1506.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
light,rho_0,Rho 0,ρ0,1517.14(49),1517.14,-0.49,0.49,,,,,,,,,,,,,,,,,,,,,,,,
light,omega,Omega,ω,1531.62(25),1531.62,-0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
light,kstar_pm,K* +-,K*±,1745.2(1),1745.2,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,
light,kstar_0,K* 0,K*0,1752.6(1),1752.6,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,
light,proton,Proton,p,1836.152673426(32),1836.152673426,-3.2e-08,3.2e-08,,,,,,,,,,,,,,,,,,,,,,,,
light,h_atom,H,H,1837.47(-0.29)(0.20),1837.47,-0.29,0.2,,,,,,,,,,,,,,,,,,,,,,,,
light,neutron,Neutron,n,1838.68366200(74),1838.683662,-7.4e-07,7.4e-07,,,,,,,,,,,,,,,,,,,,,,,,
light,eta_prime,Eta`,η′,1874.32(11),1874.32,-0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,
light,phi,Phi,φ,1995.035(31),1995.035,-0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,,
light,c,c,c,2485(-39)(39),2485.0,-39.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,
light,tau,Tau,τ,3477.23(23),3477.23,-0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,
