base_scale,possible_ET,real_ET,hit_ratio
0.999,137459,6719,0.04888002968157778
0.9991,137460,6710,0.04881420049468936
0.9992,137461,6707,0.04879202100959545
0.9993,137461,6701,0.04874837226558806
0.9994,137459,6696,0.04871270706174205
0.9994999999999999,137459,6693,0.048690882372198256
0.9995999999999999,137459,6688,0.04865450788962527
0.9996999999999999,137458,6679,0.04858938730375824
0.9997999999999999,137458,6683,0.048618487101514646
0.9998999999999999,137458,6673,0.04854573760712363
1.0,137460,6664,0.04847955768950968
1.0001,137460,6653,0.048399534410010187
1.0002,137460,6646,0.04834861050487414
1.0003,137460,6642,0.048319511130510695
1.0004,137459,6644,0.048334412442983
1.0005,137457,6642,0.04832056570418385
1.0006,137458,6640,0.048305664275633285
1.0007,137458,6631,0.04824018973068137
1.0008,137457,6627,0.048211440668718214
1.0009,137457,6617,0.04813869064507446
1.001,137457,6617,0.04813869064507446
