sector,particle_key,particle_name,symbol,theory_str,theory_E,sd_minus,sd_plus,m_bin,E_mean,E_min,E_max,i_T_min,i_T_max,delta_i,counts,delta_i_over_counts,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C
nucleon,electron,e,e,1.00000000000(31),1.0,-0.005,0.0,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,u,u,u,4.18(-0.51)(0.96),4.18,-0.51,0.96,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,d,d,d,9.14(-0.33)(0.94),9.14,-0.33,0.94,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,s,s,s,182.8(-6.6)(16.8),182.8,-6.6,16.8,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,muon,Muon,μ,206.7682827(46),206.7682827,-4.6e-06,4.6e-06,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,pion_0,Pion 0,π0,264.1430(9),264.143,-0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,pion_pm,Pion +-,π±,273.13243(35),273.13243,-0.00035,0.00035,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,k_pm,K +-,K±,966.102(21),966.102,-0.021,0.021,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,kl_0,KL 0,K_L0,973.800(26),973.8,-0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,ks_0,KS 0,K_S0,973.800(26),973.8,-0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,eta,Eta,η,1072.139(35),1072.139,-0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,rho_pm,Rho +-,ρ±,1506(1),1506.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,rho_0,Rho 0,ρ0,1517.14(49),1517.14,-0.49,0.49,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,omega,Omega,ω,1531.62(25),1531.62,-0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,kstar_pm,K* +-,K*±,1745.2(1),1745.2,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,kstar_0,K* 0,K*0,1752.6(1),1752.6,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,proton,Proton,p,1836.152673426(32),1836.152673426,-3.2e-08,3.2e-08,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,h_atom,H,H,1837.47(-0.29)(0.20),1837.47,-0.29,0.2,329,1837.4281428157185,1837.1878893693909,1837.6683962620461,35,773,739,773,0.9560155239327296,2,2,1,-5,6,5,1,2,2,1,-3,2,4,-2
nucleon,h_atom,H,H,1837.47(-0.29)(0.20),1837.47,-0.29,0.2,330,1837.4221665344733,1837.1801891911161,1837.6641438778304,844,1573,730,769,0.9492847854356307,2,2,2,4,-4,-4,-1,2,2,2,3,4,3,-2
nucleon,neutron,Neutron,n,1838.68366200(74),1838.683662,-7.4e-07,7.4e-07,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,eta_prime,Eta`,η′,1874.32(11),1874.32,-0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,phi,Phi,φ,1995.035(31),1995.035,-0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,c,c,c,2485(-39)(39),2485.0,-39.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,tau,Tau,τ,3477.23(23),3477.23,-0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,
