base_scale,possible_ET,real_ET,hit_ratio
0.999,1424,230,0.16151685393258428
0.9991,1473,239,0.16225390359809913
0.9992,1516,245,0.1616094986807388
0.9993,1554,254,0.16344916344916344
0.9994,1577,260,0.1648700063411541
0.9994999999999999,1591,261,0.16404776869893148
0.9995999999999999,1606,259,0.16127023661270237
0.9996999999999999,1605,264,0.16448598130841122
0.9997999999999999,1603,264,0.16469120399251402
0.9998999999999999,1618,258,0.15945611866501855
1.0,1614,266,0.16480793060718713
1.0001,1617,260,0.16079158936301793
1.0002,1613,267,0.16553006819590824
1.0003,1613,259,0.1605703657780533
1.0004,1614,264,0.16356877323420074
1.0005,1620,263,0.16234567901234567
1.0006,1626,264,0.16236162361623616
1.0007,1649,272,0.16494845360824742
1.0008,1671,271,0.16217833632555356
1.0009,1671,280,0.1675643327348893
1.001,1695,268,0.15811209439528023
