base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.99900000,137458,6721,0.0488949352,,,
0.99910000,137459,6715,0.0488509301,,,
0.99920000,137459,6709,0.0488072807,,,
0.99930000,137459,6698,0.0487272569,,,
0.99940000,137460,6694,0.0486978030,,,
0.99950000,137459,6691,0.0486763326,,,
0.99960000,137459,6687,0.0486472330,,,
0.99970000,137458,6680,0.0485966623,,,
0.99980000,137458,6684,0.0486257621,,,
0.99990000,137458,6673,0.0485457376,,,
1.00000000,137460,6664,0.0484795577,,,
1.00010000,137460,6652,0.0483922596,,,
1.00020000,137460,6645,0.0483413357,,,
1.00030000,137460,6641,0.0483122363,,,
1.00040000,137458,6645,0.0483420390,,,
1.00050000,137458,6642,0.0483202142,,,
1.00060000,137458,6638,0.0482911144,,,
1.00070000,137458,6632,0.0482474647,,,
1.00080000,137456,6632,0.0482481667,,,
1.00090000,137457,6614,0.0481168656,,,
1.00100000,137457,6619,0.0481532406,,,
