base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.99900000,137458,6721,0.0488949352,s,5207,0.0378806617
0.99910000,137459,6715,0.0488509301,s,5200,0.0378294619
0.99920000,137459,6709,0.0488072807,s,5199,0.0378221870
0.99930000,137459,6698,0.0487272569,s,5189,0.0377494380
0.99940000,137460,6694,0.0486978030,s,5185,0.0377200640
0.99950000,137459,6691,0.0486763326,s,5177,0.0376621393
0.99960000,137459,6687,0.0486472330,s,5171,0.0376184899
0.99970000,137458,6680,0.0485966623,s,5167,0.0375896638
0.99980000,137458,6684,0.0486257621,s,5169,0.0376042137
0.99990000,137458,6673,0.0485457376,s,5161,0.0375460141
1.00000000,137460,6664,0.0484795577,s,5157,0.0375163684
1.00010000,137460,6652,0.0483922596,s,5149,0.0374581696
1.00020000,137460,6645,0.0483413357,s,5141,0.0373999709
1.00030000,137460,6641,0.0483122363,s,5137,0.0373708715
1.00040000,137458,6645,0.0483420390,s,5136,0.0373641403
1.00050000,137458,6642,0.0483202142,s,5133,0.0373423155
1.00060000,137458,6638,0.0482911144,s,5132,0.0373350405
1.00070000,137458,6632,0.0482474647,s,5124,0.0372768409
1.00080000,137456,6632,0.0482481667,s,5123,0.0372701083
1.00090000,137457,6614,0.0481168656,s,5108,0.0371607121
1.00100000,137457,6619,0.0481532406,s,5108,0.0371607121
