base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.99900000,27608,1513,0.0548029557,,,
0.99910000,27609,1513,0.0548009707,,,
0.99920000,27609,1508,0.0546198703,,,
0.99930000,27609,1508,0.0546198703,,,
0.99940000,27610,1508,0.0546178921,,,
0.99950000,27609,1513,0.0548009707,,,
0.99960000,27609,1514,0.0548371908,,,
0.99970000,27608,1512,0.0547667343,,,
0.99980000,27608,1514,0.0548391771,,,
0.99990000,27608,1512,0.0547667343,,,
1.00000000,27610,1504,0.0544730170,,,
1.00010000,27610,1500,0.0543281420,,,
1.00020000,27610,1501,0.0543643607,,,
1.00030000,27610,1502,0.0544005795,,,
1.00040000,27608,1508,0.0546218487,,,
1.00050000,27608,1508,0.0546218487,,,
1.00060000,27608,1506,0.0545494060,,,
1.00070000,27608,1506,0.0545494060,,,
1.00080000,27606,1507,0.0545895820,,,
1.00090000,27607,1505,0.0545151592,,,
1.00100000,27607,1508,0.0546238273,,,
